head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Ame,,,core (in casting artillery and sculpture),,âme,n. (f),,http://www.civilwarartillery.com/glossary/glossaryf.htm,,,,,,,,,,,
Amorce,,1,touch hole,,,n. (f),COT1611 ,,,,,,,23r,,,,,
Amorce,,2,"primer powder, powder for the touch hole",,,n. (f),COT1611,,,,,,,23r,,,,,
Amortir,amorty,1,to die down,,,v.,,,,,,,,"52v, 115r, 119r and 132r",,,,,
Amortir,amorty,2,to mortify (metals),,,v.,,,,,,,,72v,,,,,
Ampeau,,,bark,,,n.(m),philibert1635,https://books.google.fr/books?id=hgCMWoTZDEsC&pg=PA82&dq=ampeau+arbre&hl=fr&sa=X&ved=0ahUKEwiBwa21mYDcAhWFvRQKHVemAwQQ6AEIKDAA#v=onepage&q=ampeau%20arbre&f=false,,,,,,38v,,,,,
Ampoulle,,,ampul,,ampoule,n.(f),OED2008,,,,,,,,,,,,
Amydon,,,wheat starch,,amidon,n.(m),,,,,,,,,,,,,
Ana,,,"used in pharmaceutical recipes to mean ""the same amount""",Greek,,prep.,DAF2018,,,,,,,,,,,,
Ancrou,escroue,,nut (as in nut and bolt),,écrou,n.(m),,,,,,,,,,,,,
Angroise,,,wall lizard,Poitevin (Saintongeais),,n.(f),littre1873 | favre1867 | beauchet-filleau1864,,,,,,,,,,,,
Antimoine,,,antimony,,antimoine,n.(m),,,,,,,,,,,,,
Apaster,appaster,,"to feed, to lure, to bait",,appâter,v.,COT1611,,,,,,,,,,,,
Aposteme,,,"impostume (Cot: ""An inwards swelling full of corrupt matter"")",,apostume | apostème, n.(f),COT1611,,,,,,,,,,,,
Appiller,appiler,,"to tamp, to compact",Poitevin (Saintongeais),appiler,v.,beauchet-filleau1864 | jonain1869,,,,,,,,,,,,
"Aprest, paindre d'",,,to paint on glass,,peindre d'apprêt,advp.,"See ""apprest"" in boyer1727 and felibien1697",,,,,,,,,,,,
"Archal, fil d’",,,latten or copper wire,,,n.(m),COT1611 | littre1873,,,,,,,,,,,,
Ardille,ardile,,clay ,,,,COT1611,,,,,,,,,,,,
Ardides,,,a coin similar to the liard.,,,n.(m),stimm2009,,,,,Liard,,,,,,,
Arene,,,"Natural sand, arid or lean, in which the grains do not adhere together",,arène,n.(f),,,,,,,,,,,,,
Areneux,areneulx,,sandy,,,adj.,DMF2015,,,,,,,,,,,,
Argel,,,Algiers,Spanish,Alger,n. (m),,,,,,,,,,,,,
Argent de billon,,,"billon silver (Billon refers to a mixed metal used in coinage, consisting of gold or silver with a preponderating admixture of a baser metal)",,,n.(m),OED2008,,,,,billon,,,,,,,
Argent moulu,,,the compound of ground silver with which gilding or “silvering” is done.,,,,,,,,,Or moulu,,,,,,,
Argent vif,vif argent,,quicksilver (mercury),,,n.(m),,,,,,,,,,,,,
Argent vif arresté,,,fixed quicksilver,,argent vif arrêté,n.(m),,,,,,,,"92r, 70v",,,,,
Argenter,,,to gild with silver,,,v.,COT1611,,,,,,,97r,,,,,
Aride,,,"lean, arid",,,adj.,,,,,gras,,,,,,,,
Armol,,,orach (<i>Atriplex hortensis</i>),Occitan,,,hombres1884,,,,,,,,,,,,
"Armonic, de",,,"A salt, possibly sal ammoniac (ammonium chloride), called <i>de armonic</i> by the English, according to the author-practitioner",English,,n.(m),,,,,,,,,,,,,
Arraper,araper,,to adhere,,,v.,DMF2015,,,,,,,,,,,,
Arrouser,,,to shower,,arroser,v.,,,,,,,,,,,,,
Artiste,,,"In this period, “artiste” could mean skilled artisan, a Master of Arts (the university title), and was just beginning to be used in the sense of “creative artist,” as it is today. We chose to translate as “artist,” but this older connotation of artisanal skill should be kept in mind",,,n.(m),,,,,,,,,,,,,
Arson,,,part of the plank on which a sword is furbished.,,arçon,n.(m),,,,,,,,,,,,,
Aspalte,aspalt | aspalthe ,1,"asphaltum, a painter's pigment. ",,asphalte,n.(m),kirby2010 ,,,,,,,,,,,,
Aspalte,aspalt | aspalthe | spat | spalt,2,defined on 119r as a type of sand found in Germany used for molding,,,n.(m),,,,,,,,119r,,,,,
Aspic,,,spike lavender (<i>Lavandula latifolia</i>),,,n.(m),"DAF2018, OED2008",,,,,Huile d'aspic,,,,,,,
Assiette,,1,plate,,,n.(f),,,,,,,,,,,,,
Assiette,,2,ground (of a painting),,,n.(f),,,,,,,,,,,,,
Assiette,,3,"seat (for gilding, whether water gilding on a layer of bol, or on an adhesive layer for mordant gilding.)",,,n.(f),,,,,,,,,,,,,
Atelaige,,,harness,,attelage,n.(m),,,,,,,,25r,,,,,
"Attaquer, s'",,1,"to attach, to stick",,s'attacher,v.,DMF2015,,,,,,,,,,,,
"Attaquer, s'",,2,to attack,,,v.,,,,,,,,"109v, 110r",,,,,
Aulcun(s),,,some (people),,,pron.,,,,,,,,,,,,,
Aulcunement,,,somewhat,,,adv.,,,,,,,,,,,,,
Aulne,,,"unit of measurement, equivalent to an ell, (2–4 feet)",,,n.(f),,,,,,,,,,,,,
Autan,haultan,,Autan wind (a SW or SSW wind),Occitan,,n.(m),,,,,,,,,,,,,
Avelane,,,hazelnut,Occitan,,n.(f),,,,,,,,,,,,,
Axunge,,,tallow,,axonge,n.(f),COT1611,,,,,,,,,,,,
Axunge de verre,,,"sandever, glass gall, i.e., the saline dross that rises to the top of a glass melt",,,n.(f),diderot2017,,,suin de verre,,,,,,,,,
Azur,,,"azure (the color, or various pigments of that color)",,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur d’acre,,,blue pigment from Acre,,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur d’esmail,,,"blue pigment, perhaps smalt",,azur d'émail,n.(m),,,ann_060_fa_17,,,,,,,,,,
Babtiste,,,cambric,,batiste,n.(f),COT1611,,,,,,,,,,,,
Bague,,,jewel (mostly but not necessarily a ring),,,,COT1611 | OED2008,,,,,,,,,,,,
Bahus,,,trunk,,bahut,n.(m),COT1611,,,,,,,,,,,,
Baillard,,,"a variety of barley, called pomole in Occitan, according to the author-practitioner",,,n.(m),Littré1873,,,pomole,,,,,,,,,
Balauste,,,pomegranate flower,,,n.(f),COT1611,,,,,,,,,,,,
Balle de bled,,,chaff,,,n.(f),gay1974llo1572,,,,,,,,,,,,
Balotte,,,small stone,,,n.(f),COT1611,,,,,,,,,,,,
Barbe,,,barb,,,n.(f),,,,,,,,,,,,,
Barbet,,,"a French breed of water dog, employed for retrieving water birds in hunting",,,n.(m),,,,,,,,,,,,,
Barre,,,bar,,,n.(f),COT1611,,,,,,,,,,,,
Barricot,barriquet,,firkin (small barrel),Occitan (Gascon),,n.(m),COT1611 | OED2008,,,,,,,,,,,,
Basane,,,"basan (sheep-skin tanned in oak- or larch-bark; distinguished from roan, which is tanned in sumach)",Occitan,,n.(f),COT1611 | OED2008,,,,,,,,,,,,
Basilic,,,large cannon,,,n.(m),rabelais1823,https://goo.gl/W0CXNA,,,,,,,,,,,
Bastarde,,,small piece of artillery,,,n.(f),COT1611,,,,,,,,,,,,
Baston,,,stick,,,n.(m),,,,,,,,,,,,,
Bastonceau,,,small stick,,,n.(m),,,,,,,,,,,,,
Bâton à félinder,,,"defined by the author-practitionner on fol. 95r as a stick on which a thunderstone is mounted, used to furbish swords.",,,n.(m),,,,,,ferlin,,95r,,,,,
Batterie,,,battery (a formation of guns),,,n.(f),,,,,,,,,,,,,
"Batterie, faire",,,"to batter, to mount the battery",,,v.,COT1611,,,,,,,24v,,,,,
Batture,,,"In Ms. Fr. 640, this term refers to an impermeable layer laid down on cloth in order to paint the cloth without the paint soaking through",,,n.(f),,,,,,,,"10v, 32r",,,,,
Bave,,1,"foam, froth, slaver",,,n.(f),,,,,,,,,,,,,
Bave,,2,"flashing (in metal casting: a defect produced by the metal penetrating where it should not, especially at the joint of a two-part mold)",,,n.(f),,,,,,,,,,,,,
Benarri,benarrin,,ortolan or bunting (migratory bird),Occitan,,n.(m),doujat1974,https://gallica.bnf.fr/ark:/12148/bpt6k4170z/f37.image,,,,,,,,,,,
Benjoin,beljoin,,benzoin,,,n.(m),COT1611 | OED2008,,,,,,,,,,,,
Berche,,,A piece of artillery also known as base or passevolant.,,,n.(f),COT1611,,,passevolant,,,,,,,,,
Billon,,,"billon (mixed metal used in coinage, consisting of gold or silver with a preponderating admixture of a baser metal)",,,n.(m),COT1611 | OED2008,,,,,argent de billon,,,,,,,
Billot,,,billet (large thick piece of wood),,,n.(m),OED2008,,,,,,,,,,,,
Bimbalotier,,,"one who makes and sells bibelots, i.e. small curios or trinkets",,bibelotier,n.(m),COT1611 | OED2008,,,,,,,,,,,,
Biquoque,,,"a poorly fortified town, fort, or place",,bicoque,n.(f),COT1611 | TLFi2019,,,,,,,,,,,,
Biron,viron,,gimlet (a small boring tool),Occitan,,,DMF2015,,,guimbelet,,,,,,,,,
Biseaulx,,,bevel edge,,biseaux,n.(m),,,,,,,,,,,,,
Biseaulx (tailler à),,,cut in bevel (gemstones),,biseaux,n.(m),,,,,,,,,,,,,
Bistre,,,"bistre (brown pigment derived from the tarry soot of burned, resinous wood and beechwood)",,,n.(m),gettens2015,,,,,,,,,,,,
Blanc de plomb,,,lead white,,,n.(m),,,,,,ceruse,,,,,,,
Blanchisseur de chaux vive,,,white-limer,,,n.(m),COT1611,,,,,,,,,,,,
Bled,,,"grain (cereal in general, not wheat as in modern French)",,blé,n.(m),DMF2015,,,,,,,,,,,,
Bled orberé,,,Meaning uncertain. Could refer to a variety of grain or or a way of processing it.,,,n.(m),,,,,,,,,,,,,x
Bluteau,belluteau,,bolting cloth,,,n.(m),COT1611,,,,,,,,,,,,
Blutter,belluter,,"to bolt (to pass flour, powder, or other material through a sieve)",,bluter,v.,COT1611,,,,,,,,,,,,
Bobine,,,bobbin,,,n.(f),,,,,,,,,,,,,
Bois d’erable,,,maple wood,,,n.(m),,,,,,,,,,,,,
Bois madré,,,wood with streaked grain,,,n.(m),COT1611 | DMF2015,,,,,,,,,,,,
Boisseau,,,bushel (a cylindrical vessel used for grain),,,n.(m),,,,,,,,,,,,,
Bol armeni,,,"Gallicised spelling of the Latin ""bolus armeni"" (armenian bole)",Latin,,n.(m),,,,,,,,,,,,,
Bol de Levant,,,Levant bole,,,n.(m),chambers1810,,,,,,,,,,,,
"Bon, faire",,,to bounce,,bondir,v.,roberts1639,https://upload.wikimedia.org/wikipedia/commons/f/fc/Cannoniere_1652.jpg,,,,,,,,,,,
Bonne ville,,,"A status conferred by the French king in the Ancien Régime, from the late medieval period onwards, granting privileges and financial aid in exchange for military manpower and taxes. ""Bonne ville"" thus usually referred to a city of a certain size and degree of fortification.",,,n.(f),,https://fr.wikipedia.org/wiki/Bonne_ville_(France)#Bibliographie,,,,,,,,,,,
Borelet,borlet,,ring (standard part of the structure of a cannon),,,n.(m),,,,,,,,,,,,,
Borlet de la bouche,,,ring of the mouth (“muzzle ring” in modern terminology),,,n.(m),,,,,,,,,,,,,
Borlet de la culasse,,,"ring of the breech (“base ring” in modern terminology)
",,,n.(m),,,,,,,,,,,,,
Borlet du milieu,,,"ring in the middle (“trunnion ring” in modern terminology)
",,,n.(m),,,,,,,,,,,,,
Bornat,bournat | bournal | bornal,,"honeycomb, beehive",Occitan,,n.(m),COT1611 | godefroy1971 | honnorat1846,,,,,,,,,,,,
Boufain,bouffin,,cornflower,Poitevin (Saintongeais),,n.(m),jonain1869,,,,,,,,,,,,
Bouquaran,bouquarant,,"buckram (linen fabric, originally from Boukhara)",,bougran,n.(m),DMF2015,,,,,,,,,,,,
Bourras,,,Meaning uncertain. Possibly wool stuffing,,,n.(m),DMF2015,,,,,bourre,,,,,,,x
Bourre,,1,cloth waste,,,n.(f),,,,,,,,,,,,,
Bourre,,2,wadding (of a gun),,,n.(f),,,,,,,,,,,,,
Bouteure,boutteure,1,boil,,bouture,n.(f),COT1611 | DMF2015 ,,,,,,,,,,,,
Bouteure,boutteure,2,liquid dip used by goldsmiths to clean silver of tarnish (now often called “pickle” in English--a heated mixture of vinegar and salt),,bouture,n.(f),godefroy1971,,,,,,,,,,,,
Boutique,,,The author-practitioner envisions this as a place of making and selling goods as well as trading knowledge,,,n.(f),,,,,,,,,,,,,
Boutter,,1,"to beat, to pound (ingredients)",,,v.,,,,,,,,,,,,,
Boutter,,2,"to throw, to thrust",,,v.,,,,,,,,,,,,,
Boutter,,3,to bud (plants),,,v.,,,,,,,,,,,,,
Braquer,,,to plant (artillery),,,v.,COT1611 | OED2008,,,,,,,,,,,,
Brande,,,heath (the plant),,,n.(f),COT1611 | DMF2015,,,,,,,,,,,,
Braser,,,to braze,,,v.,DMF2015,,,,,,,,,,,,
Brasier,,,brazier,,,n.(m),,,,,,,,,,,,,
Brassard,,,"Arm defense comprising pauldron and vambrace, called a ""brassart"" in English in the 19th century.",,,n.(m),,,,,,,,,,,,,
Bresil,,,brazilwood (a red wood used for dyeing),,,n.(m),kirby2010,,,,,,,,,,,,
Brissac,,,Breisach (Germany),,,n.,,,,,,,,,,,,,
Broc,,,flagon,,,n.(m),COT1611,,,,,,,,,,,,
Broillart,,,waste book (in bookkeeping),,brouillard,n.(m),boyer1727,,,,,,,9r,,,,,
Broisse,brosse,,brush,,brosse,n.(f),,,,,,,,,,,,,
Brouillaminy,,,"medicinal plaster for horses, made with armenian bole",,brouillamini,n.(m),littre1873,,,,,bol armeni,,,,,,,
Brouiller,,,"to mix, to scramble",,,v.,,,,,,,,,,,,,
Broyer,,,to grind,,,v.,,,,,,,,,,,,,
Brunir,,,to burnish,,,v.,,,,,,polir,,,,,,,
Brunisson,,,burnisher,,,n.(m),COT1611,,,,,,,,,,,,
Brusc,brusque,1,brittle,,brusque,adj.,COT1611 | DMF2015 ,,,,,,,,,,,,
Brusc,brusque,2,"brisk, lively",,brusque,adj.,COT1611 | DMF2015,,,,,,,,,,,,
Brusler,,,to burn,,brûler,v.,,,,,,,,,,,,,
Bruyere,,,heather ,,,n.(f),COT1611,,,,,,,,,,,,
Buée,,,lye,,,n.(f),COT1611 | DMF2015,,,,,,,,,,,,
Buglose,,,"small bugloss (<i>Anchusa arvensis</i>, a hairy herbaceous plant of the family <i>Boraginaceae</i>, typically with blue flowers)",,buglosse,n.(f),,,,,,,,,,,,,
Bullitoyre,bullitoire,,"Meaning uncertain. A substance for whitening silver, probably a ""pickle"" for removing tarnish.",,,n.(m),,,,,,bouteure,,"128v, 154r",,,,,x
Burin,,,burin (a sharp engraving tool),,,n.(m),,,,,,,,,,,,,
Buye,,,pitcher,,,n.(f),COT1611,,,,,,,,,,,,
Buys,,,boxwood,,buis,n.(m),,,,,,,,,,,,,
Cabat,,,frail (a kind of basket made of rushes),Occitan,cabas,n.(m),COT1611 | OED2008,,,,,,,,p024v_1,,,,
Cadran,,,quadran (something that is square in shape),,,n.(m),OED2008,,,,,,,,p021r_2,,,,
Caillou,,,flint stone,,,n.(m),COT1611,,,,,,,,,,,,
Caisse,quaisse,,case,,,n.(f),,,,,,,,,,,,,
Calamine,,,"calamine (a mineral substance of unclear identity; in modern terminology, calamine refers to a zinc ore)",,,n.(f),COT1611,,,,,,,,,,,,
Calciner,,,to calcine,,,v.,,,,,,,,,,,,,
Cambray (toile de),,,fabric of Cambray,,,n.(f),COT1611,,,,,,,,p057v_2,,,,
Cane,canne,,unit of measurement,,,n.(f),COT1611,,,,,,,,,,,,
Canon,,1,cannon (large gun),,,n.(m),COT1611,,,,,,,,,,,,
Canon,,2,"barrel (hollow instrument, part of a furnace)",,,n.(m),COT1611,,,,,,,,,,,,
Canon à chambre,,,fowler,,,n.(m),COT1611,,,,,,,,p024v_2,,,,
Canon perrier,,,cannon-perrier (also known as a stone gun),,,n.(m),OED2008,,,,,,,,,,,,
Canonier,canonnier,1,cannon-maker,,canonnier,n.(m),,,,,,,,,p017r_1,,,,
Canonier,,2,gunner,,,n.(m),,,,,,,,,,,,,
Canule,,,small hollow cane,,cannule | canulle,n.(f),,,,,,,,,p006v_1 | p066v_4,,,,
Cappe,,,"cape, sleeveless cloak, or woman's cap",,cape,n.(f),COT1611 | DMC | jonain1869,,,,,,,,,,,,
Capilli veneris,,,<i>Adiantum capillus-veneris</i>; maidenhair fern,,,n.(m),,,,,,,,,,"37r, 169r",,,
Caque,,,keg,,,n.(m),COT1611,,,,,,,,p024r_1,,,,
Carnation,,,flesh color,,,n.(f),,,,,,,,,,,,,
Carolus,,,carolus (white coin worth 10 deniers tournois),Latin,,n.(m),COT1611,,,,,,,,,,,,
Carquan,,,carcanet (ornamented collar or necklace),,carcan,n.(m),,,,,,,,,,,,,
Carton,quarton,1,thick paper upon which painters draw,,carton,n.(m),COT1611 ,,,,,,"Ms uses ""carton"" mostly as a casting material.",,,,,,
Carton,,2,pasteboard,,,n.(m),OED2008 ,,,,,,,,p080v | p081r | p142v,,,,
Carton,,3,"papier-mâché, in the sense of pulped paper. See Research Essay by Tenzin Dongchung.",,,n.(m),OED2008,,,,,,,,,,,,
Cartuche,,,full charge (paper case containing shot but no powder charge which goes into the barrel),,cartouche,n.(f),COT1611,,,,,,,,,,,,
Cassematte,,,"casemate (fortified chamber, often projecting from a wall)",,casemate,n.(f),COT1611 | boyer1727 | OED2008,,,,,,,17r  |  17v,,,,definition?,
Cassole,,,"a pot or vessel, often used for boiling; possiby posnet as per Cotgrave (small metal pot or vessel for boiling, with a handle and three feet)",,,n.(f),COT1611 | OED2008,,,,,,,,,,,,
Cave,,1,"cavity, hollow (female mold or concave part of the mold that forms the relief in the molded object)",,,n.(m) ,,,,,,,,,,,,noun?,
Cave,,2,a kind of secondary mold; a cast of something which in turn will be used as a mold,,,n.(m) ,,,,,,,,,,,,noun?,
Cave,,3,cellar,,,n.(f),,,,,,,,83r,,,, ,
Cedas,,,hair sieve,Occitan,,n.(f),boissier1756,,,,,,,,,,,,
Cedulle,,,bill,,cédule,n.(f),COT1611 | boyer1727,,,,,,,,,,,,
Cendre d'Acre,,,"ash from Acre, alkaline ash from St Jean d'Acre in the Levant used in glassmaking",,,n.(f),diderot2017,,,,,,,,,,,,
Cendrée,,1,"calcined chalk and charcoal that crucibles are made of, and shop sweepings (dross, etc) in a goldsmith's shop",,,n.(f),,,,,,,,,,,,Isn't that the definition for cendrée?,
Cendrée,,2,method of melting and purifying metals in ashes,,,n.(f),COT1611,,,,,,,,,,,,
Cendrée d'Azur,,,"blue pigment, azurite ash",,,n.(f),godefroy1971 | COT1611 | kirby2010,,ann_033_sp_16,,,,,59r,,,,,
Cendres d'Azur,,,"blue pigment, possibly azurite ash (cf. Kirby et al., s.v. <i>azur de cendre</i>)",,,n.(f),kirby2010,,,,,,,11r | 13v,,,,,
Cerf-volant,,,stag beetle,,,n.(m),,,,,,,,,,,,,
Ceruse,,,ceruse (a lead white pigment),,,n.(f),kirby2010,,,,,blanc de plomb,,10v | 67v | 131r | 159r,,,,,
Chaire,,,chair,,,n.(f),,,,,,,,136v,,,,,
Chameau,,,"literally ""camel;"" a long stick on which the sword is laid down and attached in order to furbish it",,,n.(m),,,,,,,,94v,,,,,
Chancre,,,crab,,,n.(m),,,,,,,,,,,,,
Chantepleure,,,watering pot (earthenware tool similar to the spout of a watering can),,,n.(f),COT1611 | littre1873,,,,,,,,,,,,
Chapiteau,,,helmet (the top part of an alembic),,,n.(m),,,,,,,,,p007v_a3,,,"""helmet"" in EN",
Chaple,,,a goldsmith's chisel or burin,,,n.(m),,,,,,,,,,,,,
Chappe,cappe | chape,1,crust (a crust-like covering or surface deposite that can appear when casting metal),,chape,n.(f),DMF2015,,,,,,,8v | 15r | 135v,,,,,
Chappe,cappe | chape,2,"cope (the top mold in molding a bell, figurative from the ecclesiastical vestment)",,,,,,,,,,,,,,,,
Charbon,,1,charcoal ,,,n.(m),,,,,charbon de pierre,,,,,,,,
Charbon,,2,coals or embers of a fire,,,n.(m),,,,,,,,,,,,,
Charbon de pierre,,,pit coal (<i>charbon de pierre</i> and <i>charbon de terre</i> were used interchangeably at this time for the material known in English as pit coal),,,n.(m),"COT1611 | bertrand1768, p. 579",,,,,,,,,,,,
Charge,,,charge (the charge of a gun),,,n.(m),COT1611,,,,,,,17v,,,,,
Charger,,1,to load (a gun),,,v.,,,,,,,,,,,,,
Charger,,2,"to overcharge, to run too violently, like a military charge",,,v.,,,,,,,,118v,,,,,
Charger,,3,"to saturate (ink), to charge (dye, possibly adding weight to the silk), to apply or cover (gilding and metalwork)",,,v.,,,,,,,,101v,p019v_1,,,,
Charger,,4,to weigh down,,,v.,,,,,,,,121r,p096v_3 | 104r_4,,,don't need explanation in context of one entry?,
"Chasse, foeu de",,,"violent fire, power of fire, expulsion of fire (amount of powder in an arquebus)",,,n.(f),,,,,,Foeu de chasse,,18r | 44r,,,,,
Chasse d'eau,,,gush of water,,,n.(f),TLFi2019,,,,,,,,,,,,
Chassis,,,frame (casting flask or casting frame),,,n.(m),,,,,,,,,,,,,
Chauché,,,"grape variety from the Charentes region, one of two types of grape that the author-practitioner singles out for growing in tight bunches suitable for sugar casting",,,n.(m),,,,,,sauvignon,,,,,,,
Chauffer,,,"to heat, to raise the temperature of an object. Can be contrasted with <i>cuire</i> and <i>recuire</i>",,,v.,,,,,,cuire | recuire,,,,,,,
"Chaulde, donner un",,,"to give a heat (used by goldsmiths, glass-makers and iron workers)",,,v.,,,,,,,,,,,,,
Chauldiere,,,kettle,,chaudière,n.(f),COT1611,,,,,,,84v,,,,,
Chauldronier,,,"coppersmith, tinker, or kettlemaker, depending on context",,,n.(m),,,,,,,,,,,,,
Chaulx,,,lime,,,n.(f),,,,,,,,,,,,,
Chaulx vive,,,quicklime,,,n.(f),,,,,,,,,,,,,
Chef d'oeuvre,,,masterpiece,,,n.(m),COT1611,,,,,,,,,,,,
Cheminer,,,to walk along,,,v.,,,,,,,,,,,,,
Cheville,,,a peg,,,n.(f),COT1611,,,,,,,,p021r_2,,,,
Chien de mer,,,dogfish,,,n.(m),COT1611,,,,,,,,p094r_1,,,,
Chimolée,,,"defined on 12r as fullers' earth; used in Ms. Fr. 640 for casting. According to Cotgrave, an astringent earth used in medicine",,cimolée,n.(f),DMF2015 | COT1611,,,,,,,,,,,,
