 Polishing of the balas ruby|008v|4|0|0|0|0|0|0|0|0
 Or and argent moulu|008v|11|2|0|0|0|0|0|0|0
 Polishing of stones|008v|12|3|0|0|0|0|0|0|0
 Mixture of Pewterers|008v|4|0|1|0|1|0|0|0|0
 Perfect amalgam|008v|11|1|0|0|1|0|0|0|0
 Plowman|009r|1|0|2|0|0|8|2|0|0
 Painter|009r|0|2|1|0|0|0|0|0|0
 Merchant|009r|0|0|2|0|0|0|0|0|0
 Painters|009v|11|2|1|0|0|0|0|0|0
 Merchant|009v|0|0|2|0|0|0|0|0|0
 Waste book|009v|2|0|0|0|7|0|0|0|5
 Counterfeit jasper|010r|30|2|0|0|0|3|0|0|0
 Stil de grain yellow|010r|6|0|0|0|0|0|1|0|0
 Roses|010r|2|0|0|0|0|1|0|0|0
 Purple color|010r|4|0|1|0|0|0|0|0|0
 Powder for sand glasses|010r|14|3|0|0|2|0|0|0|0
 For painting in oil on taffeta without the oil running|010v|12|0|0|0|1|0|0|0|0
 Ground for gold leaf on parchment or paper|010v|5|0|0|0|0|0|0|0|0
 For cleaning gold leaf applied to iron|010v|3|0|0|1|0|0|0|0|0
 For whitening ceruse|010v|5|1|0|0|0|0|0|0|0
 Painting esmail d’azur in oil|011r|32|19|1|0|0|0|1|0|0
 Color of damascene steel on knives|011v|9|4|0|0|0|0|0|0|0
 For getting rid of the redness of eyes or bruising|011v|1|1|0|1|0|0|0|1|0
 For coating with or mat|011v|2|0|1|0|0|0|0|0|0
 For diamond points for engraving|011v|13|4|0|0|0|0|0|0|0
 Polishing wheel of copper|011v|3|3|0|0|0|0|0|0|0
 For molding sulfur|012r|11|0|0|1|0|0|0|0|0
 Chimolee|012r|7|3|1|0|1|0|0|0|0
 Paper|012r|12|2|0|0|0|1|0|0|0
 Plaster|012r|8|5|0|0|0|0|1|0|0
 Molding stucco promptly|012v|10|2|0|0|0|0|1|0|0
 Cleaning yellow pearls|012v|5|1|1|0|0|0|0|0|0
 For whitening enilanroc|012v|11|4|2|0|0|0|0|0|0
 |013r|8|4|1|1|0|0|0|0|0
 Carnation from arsenic|013r|10|1|0|0|0|0|0|0|0
 For dyeing|013r|6|0|0|1|0|0|0|0|0
 Polishing of stones|013r|5|4|0|0|0|0|0|0|0
 Fine sieves of raw silk|013r|7|3|0|0|0|0|0|0|0
 |013v|3|0|0|1|0|0|0|0|0
 For knowing the good azurite ash for oil|013v|4|1|1|0|0|0|0|0|0
 Whitening of pearls|013v|2|0|0|0|0|0|0|0|0
 Toadstone|013v|1|1|1|2|0|0|0|2|0
 Snakes|013v|0|0|0|3|0|0|0|0|0
 Candles|013v|1|2|1|0|0|0|0|0|0
 Forc_014r_01 walls of earth and rustic construction|014r|22|9|1|1|1|3|0|0|0
 Damasked cloth|015r|13|0|0|0|0|2|0|0|0
 Foundry casting|015r|17|1|0|1|1|0|0|0|0
 Casting gold and silver|015r|10|1|1|0|0|0|0|0|0
 Tablets|015v|8|2|0|1|0|0|0|0|0
 Letter, more legible|015v|2|1|0|0|0|0|0|0|0
 Stamping|015v|6|1|0|0|0|0|0|0|0
 Softening horn|015v|3|1|0|0|0|0|0|0|0
 Ears|015v|2|0|0|0|0|0|0|3|0
 Tooth ache|015v|1|0|0|0|1|2|0|1|0
 Founding of doux iron|016r|15|23|4|0|12|1|0|0|0
 |016v|5|12|0|0|4|0|0|0|0
 Against Gonorrhea|016v|3|0|0|0|0|1|0|2|0
 For removing fine hair from the forehead|016v|3|1|0|0|1|1|0|1|0
 Silk|016v|3|0|1|0|0|0|0|0|0
 Keeping oranges|016v|2|1|0|0|1|1|0|0|0
 Candles|016v|4|2|0|0|0|1|1|0|0
 On the gunner|017r|12|0|6|1|22|0|3|0|5
 |017v|22|5|4|1|29|0|2|0|2
 |018r|9|0|2|2|29|0|1|0|1
 |018v|8|3|2|5|32|0|0|0|0
 |019r|20|4|0|0|29|0|0|0|0
 Mathematical figures without ruler and compass|019v|6|7|0|0|1|0|0|0|0
 PFor writing as well from the left as from the right|019v|5|1|0|0|0|0|0|0|0
 Enemas|019v|2|3|0|1|0|0|0|1|0
 @For making millas|020r|18|11|0|0|1|2|0|0|0
 @Glassworker|020r|9|0|3|0|7|1|4|0|0
 For whitening the face|020v|4|0|0|0|0|2|0|1|0
 Against winds, colic, &c.|020v|7|2|0|0|0|2|0|3|0
 Skirret root|020v|0|0|0|0|0|1|0|0|0
 Against burn|020v|3|0|0|0|0|1|0|1|0
 Common saying|020v|0|0|0|0|1|0|5|0|0
 A form of regimen|020v|4|0|0|0|1|0|0|3|0
 Gunner|021r|2|1|1|0|1|0|0|0|0
 For firing a cannon at night|021r|6|5|2|0|0|0|0|0|0
 |021v|0|4|0|0|0|0|0|0|0
 For unspiking a cannon|021v|2|3|2|0|0|0|0|0|0
 Defense of a town|021v|5|3|0|0|0|0|0|1|0
 |022r|0|0|0|0|2|0|0|0|0
 Orgues|022v|2|2|0|1|12|0|0|0|0
 |023r|20|10|0|0|12|0|0|0|0
 |023v|11|4|0|0|3|0|0|0|0
 |023v|2|0|0|0|3|0|0|0|0
 Grenades|024r|22|3|0|1|7|0|0|1|0
 For bringing a canon over land|024v|4|1|6|0|5|1|1|0|0
 |024v|1|0|0|0|0|0|0|0|0
 |024v|1|0|1|0|0|0|0|0|0
 |024v|0|0|0|0|0|0|0|0|0
 |025r|15|9|5|1|2|0|0|0|0
 Gunner|025v|3|4|0|0|3|0|0|0|0
 |026r|0|1|0|0|0|0|0|0|0
 Petard|026r|5|2|0|0|0|0|0|0|0
 |026v|0|0|0|0|0|0|0|0|0
 |027r|0|0|0|0|0|0|0|0|0
 |027v|0|0|0|0|15|0|1|0|0
 The measure of the caliber of pieces|028r|0|0|0|0|1|0|0|0|0
 Pewterers|028v|29|8|4|0|15|0|2|0|0
 Stucco for molding|029r|37|5|0|0|3|2|1|0|0
 Color of gold without gold on silver|029v|7|0|0|0|0|1|0|0|0
 Layer of burnished gold on paper|029v|9|0|0|0|0|0|0|0|0
 Removing stains|029v|1|0|0|0|0|0|0|0|0
 Ground for gold|029v|5|1|0|0|0|0|0|0|0
 Extraction of oils|029v|1|2|1|0|0|0|0|0|0
 Dragon's blood|029v|20|2|0|4|2|2|0|0|0
 Lead|030r|1|0|0|0|2|0|3|0|0
 Pewterer|030r|12|9|2|1|0|0|0|0|0
 |030v|7|23|0|0|1|0|0|0|0
 |031r|2|2|0|0|0|0|0|0|0
 New vine|031r|1|0|0|1|1|1|0|0|0
 Colored waters|031r|7|1|0|0|0|0|0|0|0
 Varnish resistant to water|031r|7|0|0|0|0|0|1|0|0
 Fruit made from sugar|031r|2|2|0|0|0|0|0|0|0
 Painter|031v|6|0|2|0|0|0|0|0|0
 Broisses|031v|1|1|1|0|0|0|0|0|0
 Painting from nature|031v|0|0|0|0|0|0|0|0|0
 Paindre d’aprest|031v|7|1|0|0|1|0|0|0|0
 The body of the cuirass|032r|0|1|1|0|0|0|1|0|0
 Painter|032r|4|0|1|0|0|0|1|0|0
 For layering gold in distemper|032r|14|1|3|0|1|0|0|0|0
 Mat maker|032v|11|0|2|0|3|4|1|0|0
 Glassworker|032v|7|0|1|0|0|0|1|0|0
 Founder|032v|21|0|3|0|3|0|1|0|0
 Knife for cutting the nose or a finger|033r|2|13|2|0|1|1|0|0|0
 For relighting an extinguished candle between your hands without blowing|033r|5|6|0|0|1|0|0|0|0
 For making it seem that to someone that he has a piece of silver on his forehead|033v|4|3|1|0|0|0|0|0|0
 For making blood or wine issue from someone's forehead or from a wall|033v|16|7|2|0|0|1|0|0|0
 For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber|034r|0|1|0|0|0|0|0|0|0
 XWager someone e that walking to a certain place and back, he cannot say boot without spurs four times in a row|034r|0|0|0|0|0|0|0|0|0
 For making a candlestick hold to the wall without making a hole in it|034r|0|1|1|0|0|0|0|0|0
 XHow not to break a glass with a log or a large stick|034r|2|7|0|0|1|0|0|0|0
 Writing cunningly|034r|2|0|1|0|0|0|0|0|0
 For melting or transmuting a jewel put inside a box|034v|11|31|0|0|0|0|0|0|0
 For telling someone that you will show teach him something he does not know, and neither do you|035r|0|2|0|0|1|0|0|0|0
 For supporting a bucket of water on the tips of three knives laid down without touching the ground|035r|1|7|0|0|0|0|0|0|0
 For boiling an egg in cold water without fire|035r|7|0|0|0|1|0|0|0|0
 For making rabbits come out of a burrow|035r|2|1|0|1|0|0|0|0|0
 For preventing someone from eating a foodstuff|035v|4|0|0|0|0|2|0|0|1
 For transmuting grain from one vessel to another|035v|19|26|1|0|3|9|0|0|0
 |036r|0|2|0|0|0|0|0|0|0
 For transmuting a ball into a thimble, cunning|036r|10|30|0|1|3|1|0|0|0
 Founder|036v|6|5|2|0|0|0|0|0|0
 Four à vent|036v|0|3|0|0|0|0|0|0|0
 Glassworkers' glass|036v|12|9|2|0|0|2|7|0|0
 Founder|037r|9|1|1|0|0|0|0|0|0
 Medicine for the stomach which heats it and unstops the liver|037r|6|0|0|0|3|3|0|4|0
 Foil backings for the gemstones|037r|3|1|0|0|0|0|0|0|0
 For keeping candles from dripping and making them white|037r|4|3|0|0|0|0|0|0|0
 Gardener|037v|3|1|1|1|2|3|0|0|0
 Glassworker|037v|18|0|2|0|0|0|0|0|0
 Yellow Amber|037v|9|6|0|0|1|0|2|0|0
 Sapphire|038r|7|1|1|0|0|0|1|0|1
 Saffron|038r|2|0|0|0|0|3|0|0|0
 Sapphire|038r|11|0|1|0|0|0|0|0|0
 Amber|038r|33|4|0|0|0|2|3|0|0
 Black color for dyeing|038v|5|0|0|0|0|0|0|0|0
 Against nose bleeding and for dyeing|038v|5|1|0|1|0|2|0|2|0
 Beautiful artichokes|038v|0|0|0|0|3|1|0|0|0
 Planting trees|038v|0|0|0|1|0|0|0|0|1
 Merchant|038v|2|0|1|0|0|1|0|0|0
 Scarlets|038v|8|0|0|0|3|1|0|0|0
 Goldsmith|039r|17|1|3|0|2|0|0|0|0
 Pastel woad|039r|4|4|2|0|3|9|4|0|1
 Enamel|039v|11|0|0|0|0|0|0|0|0
 Colors for illumination on glass|039v|4|0|0|0|0|0|0|0|0
 Tracing some history on glass|039v|31|5|2|0|0|2|1|0|0
 |040r|4|0|0|0|0|0|0|0|0
 Dye|040r|6|0|1|0|0|3|0|0|0
 Aquafortis|040r|6|3|0|0|2|0|0|0|0
 Vinegar|040r|8|0|1|0|0|0|3|0|0
 Buttons of vermeilles|040r|6|0|0|0|0|0|0|0|0
 Grottos|040r|3|0|0|0|0|0|0|0|0
 Cross of the commanders of Malta|040v|9|0|4|1|0|0|3|0|0
 Latten and calamine|040v|5|3|1|0|0|0|0|0|0
 Metal|040v|6|1|0|0|0|0|0|0|0
 Aquafortis|040v|5|8|0|0|3|0|0|0|0
 Earth for casting, for founders|041r|14|1|2|2|3|0|0|0|0
 Garden lilly|041r|0|0|0|0|1|2|0|0|0
 Sand|041r|16|2|0|1|1|0|0|0|0
 Ducks|041r|3|0|0|1|1|2|0|0|0
 Glassworkers' black|041v|6|1|1|0|0|0|0|0|0
 Sheared ewes|041v|1|0|2|3|1|0|0|0|0
 Colors and gilding on glass|041v|20|0|0|0|0|0|0|0|0
 Founder|042r|3|1|1|0|0|0|0|0|0
 Wax for seal and imprint|042r|13|3|0|0|0|0|0|0|0
 For casting in plaster|042r|6|1|0|0|0|0|0|0|0
 Pounced design for scratching satin|042v|7|2|0|0|0|1|0|0|0
 Canvas for painting in oil without breaking|042v|6|0|0|0|0|0|0|0|0
 Painting inoil on taffetawhich|042v|6|0|0|0|0|0|0|0|0
 Sand for casting|042v|3|1|0|0|0|0|0|0|0
 For outlining a portrait|042v|2|0|0|0|0|1|0|0|0
 White varnish on plaster|042v|8|3|0|0|1|1|0|0|0
 Mericotons and pavis|043r|0|0|0|0|0|2|0|0|0
 White bronzing on plaster|043r|12|0|1|0|0|0|1|0|0
 Purpurine|043r|12|3|1|0|7|0|0|0|0
 White bronzing|043r|5|2|0|0|0|0|1|0|0
 Varied and transmuted wine|043v|7|0|0|0|2|1|0|0|0
 Pearls|043v|2|1|0|0|0|0|0|0|0
 Arquebusier|043v|3|0|1|0|1|0|0|0|0
 Hail shot of the arquebus|043v|3|1|0|0|0|0|0|0|0
 The range of an arquebus|044r|2|0|0|0|9|0|1|0|0
 Pewterer|044r|7|0|3|0|4|0|0|0|0
 Arquebus|044r|4|0|0|0|1|0|0|0|0
 Lake|044r|2|0|0|0|1|0|0|0|0
 Dyes from flowers|044r|8|0|0|0|0|10|0|0|0
 Horsehair sieves|044v|7|5|0|2|4|0|4|0|0
 Excellent water against the plague by Monsieur de Montorsin|044v|6|2|0|0|1|2|0|1|1
 White soporific oil|044v|5|2|0|0|1|2|0|2|0
 Stucco|044v|11|2|0|0|1|0|0|0|0
 Loading an arquebus with a hail shot|045r|17|7|0|0|3|0|0|0|0
 Loading an arquebus|045v|3|7|0|0|0|0|0|0|0
 For adjusting a crooked cannon|045v|0|4|0|0|0|0|0|0|0
 For the teeth, oil of sulfur|046r|12|2|0|0|2|3|0|4|0
 Wheat oil|046r|1|0|0|0|0|1|0|1|0
 Against the falling sickness|046r|3|0|0|1|2|1|0|2|0
 Against cold gouts|046r|1|0|0|0|0|1|0|1|0
 GoFlowers of trees|046r|0|0|0|0|0|0|0|0|0
 Scribe, Oil of sulfur|046v|3|1|2|0|0|0|0|0|0
 Shoemaker|046v|2|1|1|0|0|0|0|0|0
 Erasing a letter|046v|2|2|0|0|0|0|0|0|0
 Writing without ink|046v|2|0|0|0|0|0|0|0|0
 Making letters à jour on paper and other work|046v|2|2|0|0|0|0|0|0|0
 Making someone's boots burn|046v|1|0|0|0|0|0|0|0|0
 On stone, black letters|046v|3|0|0|0|0|0|0|0|0
 For teeth|047r|6|1|0|0|3|2|0|2|0
 Antimony oil|047r|2|0|0|0|0|0|0|0|0
 Against falling sickness or vertigo|047r|1|0|0|0|0|1|0|1|0
 Crucibles|047r|6|0|0|0|0|0|1|0|0
 Against diarrhea and dysentery|047r|6|2|0|1|2|3|0|4|0
 A drink having a taste of wine|047v|4|0|0|0|0|0|0|0|0
 Founding|047v|19|6|1|0|6|0|0|0|0
 Crucibles|047v|1|2|0|0|0|0|0|0|0
 Cast|047v|3|0|0|0|1|0|0|0|0
 Founder|048r|1|1|1|0|0|0|0|0|0
 Curing dogs of mange|048r|2|0|0|1|3|0|0|1|0
 Excellent mustard|048r|7|3|0|0|0|4|0|0|0
 Keeping birds and animals|048r|6|3|0|3|0|0|0|0|0
 Extraction of regulus|048v|12|6|0|0|5|0|1|0|0
 Lead, tin|048v|34|6|2|0|6|0|0|0|0
 Casting of lead|049r|23|3|3|1|5|0|0|0|1
 Sand for lead casting|049r|5|1|0|0|0|1|0|0|0
 Another|049r|4|1|0|1|1|2|0|0|0
 Pewterers|049r|15|6|1|0|2|0|0|0|0
 Birds|049v|1|2|0|5|1|0|0|0|0
 Grain of lead|049v|4|11|0|0|2|0|0|0|0
 Birds|049v|0|0|0|5|2|1|0|0|0
 Keeping fruit for the entire year|050r|15|13|0|0|0|2|0|0|0
 Molding|050r|15|12|0|0|0|0|0|0|0
 Small birds|050v|11|3|0|14|1|7|0|0|0
 Curried steel and files|050v|20|3|3|0|1|0|7|0|0
 Counterproofing|051r|14|5|0|0|0|1|0|0|0
 Cutters of printing plates|051r|20|11|1|0|1|2|0|0|0
 |051v|34|25|1|0|1|6|0|0|0
 The work done in Algiers|052r|30|9|1|6|8|1|3|0|1
 |052v|8|3|0|0|1|0|0|1|1
 Linseed|052v|0|0|0|0|0|1|0|0|0
 Colors|052v|7|3|0|0|0|0|0|0|0
 Soldering a vise|053r|3|7|0|0|0|0|0|0|0
 Copper|053r|3|0|0|0|0|0|0|0|0
 Casting of lead|053r|5|1|0|1|2|0|0|0|0
 Molding of Paper|053r|8|0|0|0|0|0|0|0|0
 Almond trees, apricots|053r|0|0|0|0|0|7|0|0|0
 Lasting of lead and copper|053r|13|0|0|3|0|0|2|0|0
 Silkworms|053v|9|5|1|7|9|4|7|0|1
 |054r|4|3|0|4|7|1|0|0|1
 |054v|0|8|0|0|0|0|0|0|0
 For making a horse to follow|054v|1|0|0|1|0|0|0|0|0
 Dogs|054v|2|0|1|1|0|0|0|0|0
 For disguising a horse|054v|1|1|0|1|0|0|0|0|0
 Boots of hay|054v|2|0|0|0|0|0|0|0|0
 For firing a gun without noise|055r|1|2|0|1|1|0|0|0|0
 For tempering a ball that will pierce and will make healing difficult|055r|2|0|0|0|0|0|0|1|0
 Against wounds|055r|3|1|0|2|0|2|0|2|0
 Onenev elbirro hcihwc_055r_03 sllik fi eno spets no a draob ro a purrits|055r|5|2|0|3|2|0|0|2|0
 |055v|0|1|0|0|1|0|0|0|0
 Another for waters|055v|2|1|0|1|0|0|0|0|0
 Damascus steel|055v|4|0|0|1|1|1|0|0|0
 For knowing the course one takes on the open sea|055v|5|0|0|0|1|0|0|0|0
 For casting|055v|9|2|0|0|1|0|0|0|0
 Excellent tempering bath for the body of cuirasses|056r|11|7|0|2|7|1|0|0|0
 Varnish for distemper|056r|18|0|0|0|0|3|2|0|0
 Painter|056v|35|10|1|0|0|3|3|0|0
 |057r|40|5|1|0|0|1|1|0|0
 Sheath maker|057v|15|2|3|2|1|1|0|0|0
 Painter|057v|12|1|1|0|0|3|2|0|0
 |058r|27|3|0|0|0|3|5|0|0
 Blacks|058v|6|0|0|1|0|1|0|0|0
 Shadows|058v|0|0|0|0|0|0|0|0|0
 In fresco|058v|2|1|0|0|0|0|0|0|0
 Azure|058v|10|0|0|0|1|2|1|0|0
 Pinceaulx|058v|16|8|0|6|0|5|1|0|0
 |059r|15|4|0|0|0|1|1|0|0
 Shadows|059r|1|0|0|0|0|0|1|0|0
 Azure|059r|8|1|0|0|0|2|0|0|0
 BlackPainting of armory|059v|4|0|0|0|0|0|0|0|0
 Painting of crêpe|059v|5|0|0|0|0|0|0|0|0
 Folds in clothing|059v|4|0|0|0|0|0|0|0|0
 Desiccative|059v|4|0|0|0|2|0|0|0|0
 Double layers|059v|1|0|0|0|0|0|0|0|0
 Mending the cracks in a panel|059v|7|1|0|0|0|0|0|0|0
 |060r|4|0|0|0|0|0|0|0|0
 First whitening of a panel|060r|3|3|1|0|0|0|1|0|0
 Neat work|060r|0|0|0|0|0|0|0|0|0
 Oil|060r|18|1|0|0|0|3|0|0|0
 Varnish dry in an hour|060v|10|3|0|0|3|0|0|0|0
 Cleaning panels|060v|3|0|0|0|0|0|0|0|0
 |060v|3|1|2|0|0|2|0|0|0
 Wood color|060v|3|0|0|0|0|0|0|0|0
 Work of the Flemish|060v|2|2|1|0|0|0|1|0|0
 |061r|0|0|0|0|0|0|0|0|0
 Flesh colors|061r|7|0|0|0|0|0|1|0|0
 Rounding off|061r|0|2|0|0|0|0|0|0|0
 Lead white|061r|2|0|0|0|0|0|0|0|0
 Lights|061r|0|1|0|0|0|0|0|0|0
 Water to give light for the painter|061v|2|2|1|0|0|0|0|0|0
 Frames of theGermans|061v|7|1|0|1|2|0|2|0|0
 Azur d’esmail in oil|061v|15|5|0|0|0|0|0|0|0
 Grinding colors|061v|3|0|0|0|1|0|0|0|0
 Perspectives|062r|2|1|0|0|0|0|0|0|0
 Ochre|062r|1|0|0|0|0|0|0|0|0
 Distant people and animals|062r|2|0|0|0|0|0|0|0|0
 Drawing|062r|8|7|3|0|0|0|0|0|0
 Drawing|062v|2|3|3|0|0|0|0|0|0
 Perspective|062v|5|15|0|0|0|0|0|0|0
 Panel|062v|1|1|0|0|0|0|0|0|0
 Amaranth color|063r|4|0|0|0|0|1|0|0|0
 Drying of oil|063r|5|0|0|0|0|1|0|0|0
 Casting|063r|9|3|0|0|0|0|2|0|0
 Shadows|063r|3|0|1|0|0|0|1|0|0
 Bistre|063r|2|0|0|0|0|0|0|0|0
 Verdigris and another very beautiful bright green|063r|8|2|0|0|0|0|0|0|0
 Velvets and blacks|063v|8|0|0|0|0|1|0|0|0
 Armory|063v|1|0|0|0|0|0|0|0|0
 Stil de grain yellow|063v|5|0|0|0|0|1|0|0|0
 Red copper|063v|4|0|0|0|0|1|0|0|0
 Flanders blue|063v|3|0|0|2|0|0|1|0|0
 Snow-covered landscapes|063v|1|0|0|0|0|0|0|0|0
 Softening|063v|1|0|0|0|0|0|0|0|0
 Working neatly|064r|0|0|0|0|0|0|0|0|0
 Fatty oil|064r|3|0|0|0|0|1|0|0|0
 Vermilion|064r|8|0|0|0|0|0|0|0|0
 Oil colors in water|064r|10|0|0|0|0|0|0|0|0
 Double layer|064r|2|0|0|0|0|0|0|0|0
 Yellow ochre|064r|1|0|0|0|0|0|0|0|0
 Softening|064r|3|0|0|0|0|0|0|0|0
 Eye|064r|0|1|0|0|0|0|0|0|0
 Apprenticeship of the painter|064v|2|1|1|0|0|0|0|0|0
 One also presents him with these strokes & lines|064v|1|0|0|0|0|0|0|0|0
 Softening|064v|6|1|0|0|0|0|0|0|0
 Straight lines|064v|0|1|0|0|0|0|0|0|0
 Distemper|064v|3|0|0|0|0|0|0|0|0
 Shadows|065r|12|0|0|0|0|1|0|0|0
 Flesh color|065r|0|0|0|0|0|0|0|0|0
 Mirror|065r|1|5|1|0|0|0|0|0|0
 Greasy colors|065r|15|2|0|0|0|0|0|0|0
 Semi-lively colors|065v|3|0|0|0|0|0|0|0|0
 Painting large figures|065v|2|1|1|0|0|0|0|0|0
 Glazing|065v|3|0|0|0|0|0|0|0|0
 White and black|065v|0|0|2|0|0|0|0|0|0
 Lead white|065v|1|0|0|0|0|0|0|0|0
 From nature|065v|7|0|2|0|0|0|0|0|0
 Primingc_065v_04|065v|6|1|0|0|0|0|0|0|0
 Double layers|066r|0|0|0|0|0|0|1|0|0
 Shadows|066r|3|0|0|0|0|0|0|0|0
 Painting in distemper on wood|066r|11|1|0|0|0|1|0|0|0
 Colors in oil that are imbibed|066r|9|0|0|0|0|0|0|0|0
 Gilding molding for panels with or mat|066r|38|6|0|0|4|0|4|0|0
 |066v|8|1|0|0|1|0|0|0|0
 For preventing teats from swelling d or to diminish overly large ones|066v|13|2|0|0|3|5|1|3|0
 For attracting pigeons|066v|2|1|0|2|0|1|0|0|0
 Against bruising of the eyes|066v|1|0|0|0|0|0|0|1|0
 Pinceaulx|066v|7|1|0|2|1|0|0|0|0
 |067r|5|2|0|4|0|0|0|0|0
 Oil|067r|7|0|0|0|0|1|0|0|0
 Sand|067r|0|0|0|0|0|0|0|0|0
 Bellows furnace|067r|4|3|0|0|0|0|0|0|0
 Varnish on paper|067r|13|0|2|0|0|2|1|0|0
 Files|067v|10|5|2|0|0|0|0|0|0
 Bones of the foot of oxen for sand|067v|8|1|0|1|0|0|0|0|0
 Huiles d'essence|067v|10|1|0|0|1|1|0|0|0
 Fanciful tables|068r|3|1|0|1|0|0|0|0|0
 Planting trees|068r|1|0|0|0|0|0|0|0|0
 Casting|068r|26|4|1|0|0|0|1|0|0
 |068v|23|16|2|0|2|0|0|0|0
 |069r|8|0|0|0|1|0|0|0|0
 Joiner|069r|0|0|1|0|0|0|0|0|0
 Sand|069r|21|8|1|0|1|0|2|0|0
 |069v|22|3|1|1|2|2|0|0|0
 |070r|36|7|0|3|1|0|0|0|0
 |070v|11|1|1|0|0|0|0|0|0
 Amber|071r|4|0|0|2|0|0|0|0|0
 Bois madre|071r|5|0|0|0|0|3|0|0|0
 Mulled and sugared wine|071r|13|4|0|0|2|0|2|0|0
 Weary horses|071r|1|1|0|2|0|0|0|0|0
 Eau-de-vie|071r|4|0|0|0|0|0|1|0|0
 Varnish|071v|14|3|0|0|2|2|0|0|0
 Sheep fat|071v|0|0|0|2|0|0|1|0|0
 Spider|071v|2|1|1|1|0|0|2|0|0
 Sand|071v|7|0|2|0|0|0|2|0|0
 Printer's letters|072r|6|0|1|1|0|0|0|0|0
 Casting in copper|072r|19|12|0|0|0|2|0|0|0
 Casting|072v|44|12|1|2|6|0|1|0|0
 For making blue varnish|073r|8|0|0|0|2|0|1|0|0
 For orange color|073r|4|0|0|0|0|0|0|0|0
 For ridding bone or horn of fattiness|073r|7|3|1|0|0|1|0|0|0
 For making gray wood|073r|14|1|0|0|0|1|0|0|0
 For making bronze in gold color|073r|4|1|0|0|2|0|0|0|0
 |073v|6|0|0|0|2|0|0|0|0
 For c coating it|073v|6|0|0|0|0|1|1|0|0
 Varnish|073v|5|2|0|0|2|1|0|0|0
 Another recipe for making varnish|073v|5|0|0|0|3|1|1|0|0
 Color of burnished copper|073v|6|3|0|0|5|0|1|0|0
 For bronzing white|074r|4|3|0|0|0|0|0|0|0
 For making vermilion|074r|5|2|0|0|3|0|0|0|0
 For making varnish|074r|13|3|0|0|8|2|0|0|0
 |074v|2|1|0|0|0|0|0|0|0
 For making red varnish|074v|3|0|0|0|0|0|0|0|0
 For making yellow varnish|074v|7|1|1|0|0|0|0|0|0
 Recipe for white gum|074v|5|3|0|0|0|0|0|0|0
 Green gum|074v|3|0|0|0|0|0|0|0|0
 Red gum|075r|4|0|0|0|0|0|0|0|0
