 pastel woad flowers|001r||p001r_1
 Thick varnish|003r|Thick varnish for planks|p003r_3
 varnish|003r|Thick varnish for planks|p003r_3
 linseed oil|003r|Thick varnish for planks|p003r_3
 garlic|003r|Thick varnish for planks|p003r_3
 wheat|003r|Thick varnish for planks|p003r_3
 coarse common turpentine|003r|Thick varnish for planks|p003r_3
 fine turpentine|003v||p003r_3
 common turpentine|003v||p003r_3
 fine turpentine oil|003v||p003r_3
 turpentine oil|003v||p003r_3
 turpentine it may be, whether fine or crude|003v||p003r_3
 cold water|003v||p003r_3
 colophony|003v||p003r_3
 pix graeca|003v||p003r_3
 eau-de-vie|003v||p003r_3
 copper|003v||p003r_3
 charcoal|003v||p003r_3
 varnish|003v||p003r_3
 copper|003v||p003r_3
 tinned|003v||p003r_3
 Turpentine varnish|003v|For varnishing|p003v_1
 glue|003v|For varnishing|p003v_1
 wood|003v|For varnishing|p003v_1
 spike lavender|003v|For varnishing|p003v_1
 sandarac|003v|For varnishing|p003v_1
 spike lavender|003v|For varnishing|p003v_1
 glue|003v|For varnishing|p003v_1
 iron|003v|For varnishing|p003v_1
 wood|003v|For varnishing|p003v_1
 gum|003v|For varnishing|p003v_1
 colle de destrempe|003v|For varnishing|p003v_1
 colle de retailles|003v|For varnishing|p003v_1
 Varnish of spike lavender oil|004r|Varnish of spike lavender oil|p004r_1
 lavender spike oil|004r|Varnish of spike lavender oil|p004r_1
 powdered sandarac gum|004r|Varnish of spike lavender oil|p004r_1
 charcoal|004r|Varnish of spike lavender oil|p004r_1
 sandarac|004r|Varnish of spike lavender oil|p004r_1
 varnish|004r|Varnish of spike lavender oil|p004r_1
 lavender spike oil|004r|Varnish of spike lavender oil|p004r_1
 pulverized sandarac|004r|Varnish of spike lavender oil|p004r_1
 ebony|004r|Varnish of spike lavender oil|p004r_1
 fine turpentine|004r|Varnish of spike lavender oil|p004r_1
 linseed varnish|004r|Varnish of spike lavender oil|p004r_1
 turpentine|004r|Varnish of spike lavender oil|p004r_1
 pulverized mastic|004r|Varnish of spike lavender oil|p004r_1
 sandarac|004r|Varnish of spike lavender oil|p004r_1
 plaster|004r|Varnish of spike lavender oil|p004r_1
 colle de retaille|004r|Varnish of spike lavender oil|p004r_1
 varnish|004r|Varnish of spike lavender oil|p004r_1
 Varnish of spike lavender oil|004r|Varnish of spike lavender oil|p004r_1
 turpentine|004r|Varnish of spike lavender oil|p004r_1
 spike lavender oil|004r|Varnish of spike lavender oil|p004r_1
 varnish|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 white soap|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 sieved ashes|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 water|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 ashes|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 soap|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 varnish|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 water|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 turpentine varnish|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 Black varnish|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 linseed oil|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 walnut oil|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 garlic|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 onions|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 hog's fennel|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 bread crusts|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 oil|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 black pitch|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 grains of wheat|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 garlic|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 onions|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 pitch|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 oil|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 iron|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 charcoal|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 varnish|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 smokes|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 varnish|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 black varnish|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 jet|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 walnut oil|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 varnish|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 oil|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 galipot|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 peeled garlic cloves|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 varnish|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 sands|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 Black varnish|004v|Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|p004v_2
 varnish of spike lavender oil|004v|Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|p004v_2
 soot black|004v|Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|p004v_2
 lampblack|004v|Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|p004v_2
 Turpentine varnish|004v|Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|p004v_2
 Varnish of iron etchers|004v|Varnish of iron etchers|p004v_3
 linseed oil|004v|Varnish of iron etchers|p004v_3
 walnut oil|004v|Varnish of iron etchers|p004v_3
 black pitch|004v|Varnish of iron etchers|p004v_3
 resin|004v|Varnish of iron etchers|p004v_3
 black varnish|004v|Varnish of iron etchers|p004v_3
 iron|004v|Varnish of iron etchers|p004v_3
 varnish|004v|Varnish of iron etchers|p004v_3
 smokes|004v|Varnish of iron etchers|p004v_3
 steel|004v|Varnish of iron etchers|p004v_3
 salt|004v|Varnish of iron etchers|p004v_3
 verdigris|004v|Varnish of iron etchers|p004v_3
 quite strong vinegar|004v|Varnish of iron etchers|p004v_3
 linen|005r||p004v_3
 Steel|005r|Steel mirrors|p005r_1
 steel|005r|Steel mirrors|p005r_1
 steel|005r|Steel mirrors|p005r_1
 potée of emery|005r|Steel mirrors|p005r_1
 cuivre franc|005r|Steel mirrors|p005r_1
 rosette|005r|Steel mirrors|p005r_1
 tin|005r|Steel mirrors|p005r_1
 rosette copper|005r|Steel mirrors|p005r_1
 doux tin|005r|Steel mirrors|p005r_1
 copper|005r|Steel mirrors|p005r_1
 tin|005r|Steel mirrors|p005r_1
 white stone|005r|Steel mirrors|p005r_1
 oil|005r|Steel mirrors|p005r_1
 plaster|005r|Steel mirrors|p005r_1
 thin sand|005r|Steel mirrors|p005r_1
 plaster|005r|Steel mirrors|p005r_1
 plaster|005r|Steel mirrors|p005r_1
 arene|005r|Steel mirrors|p005r_1
 tripoli of Venice|005r|Steel mirrors|p005r_1
 potée|005r|Steel mirrors|p005r_1
 arene|005r|Steel mirrors|p005r_1
 water|005r|Steel mirrors|p005r_1
 tripoli|005r|Steel mirrors|p005r_1
 potée|005r|Steel mirrors|p005r_1
 paper|005v||p005r_2
 paper|005v||p005r_2
 straw|005v||p005r_2
 candle|005v||p005r_2
 looking-glass tin|005v|For bronzing in yellow and white|p005v_1
 quicksilver|005v|For bronzing in yellow and white|p005v_1
 ash|005v|For bronzing in yellow and white|p005v_1
 clean water|005v|For bronzing in yellow and white|p005v_1
 marble|005v|For bronzing in yellow and white|p005v_1
 water of ret colle de retaille|005v|For bronzing in yellow and white|p005v_1
 wooden|005v|For bronzing in yellow and white|p005v_1
 pin filings|005v|For bronzing in yellow and white|p005v_1
 glue|005v|For bronzing in yellow and white|p005v_1
 burnished gold|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 Ceruse|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 lead white|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 or mat|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 oil|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 ochre|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 mine|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 oil|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 or mat|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 gilded leadwork|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 burnished gold|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 good chalk, quite white, well ground|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 distemper glue|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 wood|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 prele|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 horsetail|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 fine Armenian bole|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 sanguine|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 lamb tallow|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 bean|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 pea|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 bole|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 willow charcoal|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 tallow|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 saffron|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 candi sugar|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 water|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 gum|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 glue|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 gold|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 clear water|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 gold|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 rouge clair|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 Venice laque platte|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 marble|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 walnut oil|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 linseed|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 turpentine varnish or spike lavender|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 gold|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 Brazilwood|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 lake ronde|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 verdigris|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 walnut oil|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 linseed|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 turpentine varnish and not of spike lavender|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 verdigris|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 azure|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 burnished silver|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 azur d’esmail|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 turpentine varnish|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 thin enamel canes|006v|For ga cachcages|p006v_1
 latten or iron wire|006v|For ga cachcages|p006v_1
 wood|006v|For ga cachcages|p006v_1
 ash|006v|For ga cachcages|p006v_1
 aquafortis|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 iron|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 copper|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 doulx tin|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 polished marble|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 wooden|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 lead|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 tin|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 tin|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 felt|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 gild|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 gold color|007r|For gilding with gold color and tinsel|p007r_1
 tinsel|007r|For gilding with gold color and tinsel|p007r_1
 tin|007r|For gilding with gold color and tinsel|p007r_1
 iron|007r|For gilding with gold color and tinsel|p007r_1
 copper|007r|For gilding with gold color and tinsel|p007r_1
 glue|007r|For gilding with gold color and tinsel|p007r_1
 wood|007r|For gilding with gold color and tinsel|p007r_1
 fatty oil|007r|For gilding with gold color and tinsel|p007r_1
 walnut oil|007r|For gilding with gold color and tinsel|p007r_1
 lead white|007r|For gilding with gold color and tinsel|p007r_1
 oil|007r|For gilding with gold color and tinsel|p007r_1
 lead white|007r|For gilding with gold color and tinsel|p007r_1
 massicot|007r|For gilding with gold color and tinsel|p007r_1
 mine de plomb|007r|For gilding with gold color and tinsel|p007r_1
 Minium|007r|For gilding with gold color and tinsel|p007r_1
 gold|007r|For gilding with gold color and tinsel|p007r_1
 gold|007r|For gilding with gold color and tinsel|p007r_1
 cotton|007r|For gilding with gold color and tinsel|p007r_1
 gold|007r|For gilding with gold color and tinsel|p007r_1
 tinsel|007r|For gilding with gold color and tinsel|p007r_1
 smoke of perdrix or of yellow or red cloth|007r|For gilding with gold color and tinsel|p007r_1
 cloth|007r|For gilding with gold color and tinsel|p007r_1
 gold|007r|For gilding with gold color and tinsel|p007r_1
 velvet|007r|For gilding with gold color and tinsel|p007r_1
 satin|007r|For gilding with gold color and tinsel|p007r_1
 strong glue|007r|For gilding with gold color and tinsel|p007r_1
 sheets of copper or latten|007r|For coloring stamped trunks|p007r_2
 service treec_007r_02 wood|007r|For coloring stamped trunks|p007r_2
 lake|007r|For coloring stamped trunks|p007r_2
 verdet|007r|For coloring stamped trunks|p007r_2
 azur d’esmail|007r|For coloring stamped trunks|p007r_2
 turpentine varnish|007r|For coloring stamped trunks|p007r_2
 azure|007r|For coloring stamped trunks|p007r_2
 fer blanc|007r|For coloring stamped trunks|p007r_2
 azure|007r|For coloring stamped trunks|p007r_2
 dragon's blood|007r|Doublets|p007r_3
 eau-de-vie|007r|Doublets|p007r_3
 mastic|007r|Doublets|p007r_3
 glue|007r|Doublets|p007r_3
 sap-green|007r|Doublets|p007r_3
 saffron|007r|Doublets|p007r_3
 Fish glue|007r|Fish glue or isinglass and mouth glue|p007r_4
 isinglass|007r|Fish glue or isinglass and mouth glue|p007r_4
 mouth glue|007r|Fish glue or isinglass and mouth glue|p007r_4
 codfish skin|007r|Fish glue or isinglass and mouth glue|p007r_4
 salted|007r|Fish glue or isinglass and mouth glue|p007r_4
 glue|007r|Fish glue or isinglass and mouth glue|p007r_4
 barely boiling water|007r|Fish glue or isinglass and mouth glue|p007r_4
 Mouth glue|007r|Fish glue or isinglass and mouth glue|p007r_4
 parchment scrapings|007r|Fish glue or isinglass and mouth glue|p007r_4
 glueing|007r|Fish glue or isinglass and mouth glue|p007r_4
 paper|007r|Fish glue or isinglass and mouth glue|p007r_4
 eau-de-vie|007r|Fish glue or isinglass and mouth glue|p007r_4
 vinegar|007r|Fish glue or isinglass and mouth glue|p007r_4
 white wine|007r|Fish glue or isinglass and mouth glue|p007r_4
 eau-de-vie|007r|Fish glue or isinglass and mouth glue|p007r_4
 metals|007v|For giving the color of all kinds of metals to wood & other things|p007v_1
 wood|007v|For giving the color of all kinds of metals to wood & other things|p007v_1
 touchstone|007v|For giving the color of all kinds of metals to wood & other things|p007v_1
 pumice stone|007v|For giving the color of all kinds of metals to wood & other things|p007v_1
 glue de retailles|007v|For giving the color of all kinds of metals to wood & other things|p007v_1
 metal|007v|For giving the color of all kinds of metals to wood & other things|p007v_1
 dried common walnuts|007v|Against windy colic|p007v_2
 glass|007v|Against windy colic|p007v_2
 good wine|007v|Against windy colic|p007v_2
 wine|007v|Against windy colic|p007v_2
 walnuts|007v|Against windy colic|p007v_2
 finely pulverised golden & yellow marcasite|007v|For relieving the pain of goutc_007v_01|p007v_3
 storax|007v|For relieving the pain of goutc_007v_01|p007v_3
 urine|007v|For relieving the pain of goutc_007v_01|p007v_3
 smoke|007v|For relieving the pain of goutc_007v_01|p007v_3
 urine|007v|For relieving the pain of goutc_007v_01|p007v_3
 luted|007v|For relieving the pain of goutc_007v_01|p007v_3
 copper|007v|For relieving the pain of goutc_007v_01|p007v_3
 linen|007v|For relieving the pain of goutc_007v_01|p007v_3
 water|007v|For relieving the pain of goutc_007v_01|p007v_3
 Aquae fabrorum antiquae|007v|Against gonorrheac_007v_02|p007v_4
 boli Armeniae|007v|Against gonorrheac_007v_02|p007v_4
 mellis communis|007v|Against gonorrheac_007v_02|p007v_4
 mellis|007v|Against gonorrheac_007v_02|p007v_4
 gold|008r|Lettering of gold on paper|p008r_1
 paper|008r|Lettering of gold on paper|p008r_1
 milk of the fig tree|008r|Lettering of gold on paper|p008r_1
 gold leaf|008r|Lettering of gold on paper|p008r_1
 linen|008r|Lettering of gold on paper|p008r_1
 powder|008r|For bursting grenades and giving force to fireworksc_008r_01|p008r_2
 quicksilver|008r|For bursting grenades and giving force to fireworksc_008r_01|p008r_2
 quicksilver|008r|For bursting grenades and giving force to fireworksc_008r_01|p008r_2
 lead|008r|Tempering of balls for piercing armor of proofc_008r_02|p008r_3
 strongest vinegar|008r|Tempering of balls for piercing armor of proofc_008r_02|p008r_3
 lard|008r|Tempering of balls for piercing armor of proofc_008r_02|p008r_3
 linen|008r|Tempering of balls for piercing armor of proofc_008r_02|p008r_3
 powder|008r|For making a breach in a wall by night|p008r_4
 balas ruby|008v|Polishing of the balas ruby|p008v_1
 tripoli|008v|Polishing of the balas ruby|p008v_1
 marcasite powder|008v|Polishing of the balas ruby|p008v_1
 oil|008v|Polishing of the balas ruby|p008v_1
 Or|008v|Or and argent moulu|p008v_2
 argent moulu|008v|Or and argent moulu|p008v_2
 fine gold|008v|Or and argent moulu|p008v_2
 ☿|008v|Or and argent moulu|p008v_2
 mercury|008v|Or and argent moulu|p008v_2
 marble|008v|Or and argent moulu|p008v_2
 gum water|008v|Or and argent moulu|p008v_2
 silver|008v|Or and argent moulu|p008v_2
 aquafortis|008v|Or and argent moulu|p008v_2
 copper|008v|Or and argent moulu|p008v_2
 gum water|008v|Or and argent moulu|p008v_2
 stones|008v|Polishing of stones|p008v_3
 tin|008v|Polishing of stones|p008v_3
 lead|008v|Polishing of stones|p008v_3
 fine copper|008v|Polishing of stones|p008v_3
 copper|008v|Polishing of stones|p008v_3
 diamond|008v|Polishing of stones|p008v_3
 ruby|008v|Polishing of stones|p008v_3
 sapphire|008v|Polishing of stones|p008v_3
 oriental jacinth|008v|Polishing of stones|p008v_3
 tin|008v|Polishing of stones|p008v_3
 emerald|008v|Polishing of stones|p008v_3
 amethyst|008v|Polishing of stones|p008v_3
 fine tin|008v|Mixture of Pewterers|p008v_4
 lead|008v|Mixture of Pewterers|p008v_4
 tin|008v|Mixture of Pewterers|p008v_4
 latten filings|008v|Mixture of Pewterers|p008v_4
 stoneware|008v|Perfect amalgam|p008v_5
 ☿|008v|Perfect amalgam|p008v_5
 water|008v|Perfect amalgam|p008v_5
 ☾|008v|Perfect amalgam|p008v_5
 ☼|008v|Perfect amalgam|p008v_5
 aquafortis|008v|Perfect amalgam|p008v_5
 ☾|008v|Perfect amalgam|p008v_5
 ♀|008v|Perfect amalgam|p008v_5
 ☾|008v|Perfect amalgam|p008v_5
 ☼|008v|Perfect amalgam|p008v_5
 ♀|008v|Perfect amalgam|p008v_5
 grain|009r|Plowman|p009r_1
 orpiment|009v|Painters|p009v_1
 glass|009v|Painters|p009v_1
 orpiment|009v|Painters|p009v_1
 garnets|009v|Painters|p009v_1
 orpiment|009v|Painters|p009v_1
 red enamel|009v|Painters|p009v_1
 oil|009v|Painters|p009v_1
 orpiment|009v|Painters|p009v_1
 common salt|009v|Painters|p009v_1
 Green verditer|009v|Painters|p009v_1
 oil|009v|Painters|p009v_1
 cambric|009v|Waste book|p009v_3
 cambric|009v|Waste book|p009v_3
 Counterfeit jasper|010r|Counterfeit jasper|p010r_1
 horn|010r|Counterfeit jasper|p010r_1
 jasper|010r|Counterfeit jasper|p010r_1
 cornalines|010r|Counterfeit jasper|p010r_1
 stones|010r|Counterfeit jasper|p010r_1
 glass|010r|Counterfeit jasper|p010r_1
 horn|010r|Counterfeit jasper|p010r_1
 jasper|010r|Counterfeit jasper|p010r_1
 horn|010r|Counterfeit jasper|p010r_1
 roses|010r|Counterfeit jasper|p010r_1
 jasper|010r|Counterfeit jasper|p010r_1
 clear turpentine|010r|Counterfeit jasper|p010r_1
 spike lavender varnish|010r|Counterfeit jasper|p010r_1
 oil|010r|Counterfeit jasper|p010r_1
 spike lavender oil|010r|Counterfeit jasper|p010r_1
 glass|010r|Counterfeit jasper|p010r_1
 filings of talc or of pins|010r|Counterfeit jasper|p010r_1
 cement|010r|Counterfeit jasper|p010r_1
 gum ammoniac|010r|Counterfeit jasper|p010r_1
 vinegar|010r|Counterfeit jasper|p010r_1
 marbled jasper|010r|Counterfeit jasper|p010r_1
 wool with thick hairs|010r|Counterfeit jasper|p010r_1
 gold &silver leaf|010r|Counterfeit jasper|p010r_1
 horn|010r|Counterfeit jasper|p010r_1
 turpentine|010r|Counterfeit jasper|p010r_1
 silver|010r|Counterfeit jasper|p010r_1
 tin leaf|010r|Counterfeit jasper|p010r_1
 horn|010r|Counterfeit jasper|p010r_1
 strong glue|010r|Counterfeit jasper|p010r_1
 horn|010r|Counterfeit jasper|p010r_1
 Stil de grain yellow|010r|Stil de grain yellow|p010r_2
 juice of weld|010r|Stil de grain yellow|p010r_2
 chalk|010r|Stil de grain yellow|p010r_2
 ceruse|010r|Stil de grain yellow|p010r_2
 distemper|010r|Stil de grain yellow|p010r_2
 oil|010r|Stil de grain yellow|p010r_2
 horn used for lanterns|010r|Roses|p010r_3
 parchment|010r|Roses|p010r_3
 common azur|010r|Purple color|p010r_4
 azur d'esmail|010r|Purple color|p010r_4
 lake|010r|Purple color|p010r_4
 alum|010r|Purple color|p010r_4
 Powder|010r|Powder for sand glasses|p010r_5
 sand|010r|Powder for sand glasses|p010r_5
 lead|010r|Powder for sand glasses|p010r_5
 filth|010r|Powder for sand glasses|p010r_5
 finely pulverized common salt|010r|Powder for sand glasses|p010r_5
 stones|010r|Powder for sand glasses|p010r_5
 earth|010r|Powder for sand glasses|p010r_5
 iron|010r|Powder for sand glasses|p010r_5
 lead|010r|Powder for sand glasses|p010r_5
 salt|010r|Powder for sand glasses|p010r_5
 marble|010r|Powder for sand glasses|p010r_5
 water|010r|Powder for sand glasses|p010r_5
 powder|010r|Powder for sand glasses|p010r_5
 water|010r|Powder for sand glasses|p010r_5
 oil|010v|For painting in oil on taffeta without the oil running|p010v_1
 taffeta|010v|For painting in oil on taffeta without the oil running|p010v_1
