folder,Folio,Entry ID,Comment ID,TC,TCN,TL,Comment,Comment-edit,Category,Commenter,Comment Date,M&K team member copying comments,Date checked,Notes,<comment>c_104v_01</comment>
p001r,p001r,p001r_3,c_001r_11,,,X,"Should stand for ""Commentaria Urbis Romae"". Closes possible title: Raphael Volaterranus, Commentariorum Urbanorum libri (a widespread encyclopedia, with sections on pigments etc.)
NB Several recipes on p046v are referenced with ""Urb"". Unable to identify them in Volaterranus.",,,MHS,7/4/2018,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_12,,,X,"Girolamo Ruscelli (c.1518-1566), a prolific polygraph. Probably mentioned here for his Secreti del reverendo donno Alessio Piemontese, Venice, Sigismondo Bordogna, 1555, etc.; French translation, Les secrets, contenans remedes contre plusieurs maladies, playes et autres accidens, avec la maniere de faire distillations, parfuns, confitures, teintures, couleurs et fusions, Anvers, Christophe Plantin, 1557, etc.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_13,,,X,"LH: (1454-1493) Italian Renaissance Humanist. Authoritative work on Pliny with 5,000 corrections

MHS: Ermolao Barbaro (1454-1493), a prolific Venetian humanist. See especially. Naturalis scientiae totius compendium ex Aristotele et aliis philosophis, Francfort, Christian I Egenolff, 1550, etc.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_14,,,X,"MHS: Pietro Angeli da Barga, De aucupio liber primus…, Florence, heirs of Bernardo I Giunta, 1566. Maybe mixed up with (or bound with?) another book on (aucupium &) venatio.

Raymond Edward Carlson: The other book may have been the De Venatione libri IIII, a translated version of Oppianus' text by Jean Bodin (Paris: Michel de Vascosan, 1555). This text, like Pietro Angeli da Barga's text, is quarto size. Alternatively, Girolamo Ruscelli (mentioned two lines above in the MS) was involved the production of a different version of the De Venatione libri IIII translated by Natale Conti (Venice: 1551). The full title page reads: Natalis Comitum Veneti De Venatione, Libri IIII Hieronymi Rvscellii Scholiis revissimis illvstrati. However, Conte's De Venatione is octavo size, eliminating the possibility that it was bound with Pietro Angeli da Barga's text.",,,Raymond Edward Carlson,11/16/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_15,,,X,"Nicolaus Damascenus, historian and philosopher (1st c. BC), Ex Nicolai Damasceni Universali historia, seu De moribus gentium excerpta JOHANNIS STOBAEI collectanea, [Geneva, Jacob Stoer for] Pierre de Saint-André, 1593. FIND earlier edition.",,,MHS,6/21/2015,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_16,,,X,"Procopius Caesariensis, 
De rebus Gothorum, Persarum ac Vandalorum libri VII, Basel, Hervagius, 1531 (first published as De bello Persico, Rome, 1509, 1516). USTC 686905 jumbles up the title.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_17,,,X,"LH: Isidorus of Seville
MHS: (Usually Isidore rather than Isidorus in English)
General Editor: Should names be Anglicized and/or book titles be translated?
MHS: The main thing is to keep names consistent. Isidore of Seville or Isidorus Hispalensis, NOT Isidorus of Seville",,,MHS,8/17/2018,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_18,,,X,"Ms. has: Osorius.

Paulus Orosius (5th c.), presumably his Historiae adversus paganos, Augsburg, Johann Schüssler, 1471, etc.; many editions, mainly under the title Adversus paganos historiarum libri septem. 
Context makes this misspelling more plausible than a reference to the Portuguese theologian and historian Jerónimo Osório (although the translation of his Histoire de Portugal was printed in Paris and Geneva in 1581).",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_19,,,X,"Eupolemus, Greek Jewish historian (2nd c. BC) Source of quote should be identifiable. Cf. Andreas Masius, Josuae imperatoris historia illustrata atque explicata, Antwerp, Plantin, 1574, p. 635 (index): ""Eupolemus scripsit acta Davidis & Salomonis""
http://books.google.fr/books?id=A7a5_Dqe-IsC&pg=PA635",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_20,,,X,"trans.: Eupolemus, a pagan historian, who wrote the history of David and Solomon.",,,MHS,7/4/2018,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_21,,,X,"Gilles Corrozet, Le cathalogue des villes et citez assises es troys Gaulles, Paris, Denis Janot, 1539; 1540, 1543, 1575. 
Rather than his Le cathalogue des anticques erections des villes et citez, 1st edn no place no date; 1536, 1539, 1540, 1543, 1551",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_22,,,X,"Paris, Guy Marchand, 1491, and later editions from various printers. throughout the 16th c. Illustrated calendar.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_23,,,X,"Possibly Jean-Pierre de Mesmes, La grammaire italienne composée en françoys, Paris, Gilles Corrozet, 1548 ; 1567, 1568, 1581.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_24,,,X,"Pierre de Savonne, Arithmetique, Paris, 1563 ; 1565 ; 1571, 1585 (etc.).",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_25,,,X,"Philibert Boyer, Instruction pour le faict des finances, Paris, Ambroise Drouart & Guillaume Le Noir, 1581",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_26,,,X,"Antoine Du Verdier, Questions enigmatiques, recreatives et propres pour deviner et y passer le temps aux veillees des longues nuicts, avec les responses subtiles, & autres propos joyeux, Lyon, Benoît Rigaud, 1568.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_27,,,X,"Cassianus Bassus, Selectarum praeceptionum de agricultura…, Basel, Hieronymus I Froben & Nikolaus I Episcopius, 1538 (NB the French translation, Paris & Lyon 1550, has ""enseignemens"", not praeceptes. so he is presumably referring to the Latin edn)",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_28,,,X,"N. Froumenteau, Le secret des finances de France, descouvert, & departi en trois livres…, no place, 1581.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_29,,,X,"LH:Synesius of Cyrene

MHS: (370?-413?), bishop of Cyrene. Many works.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_30,,,X,"1490-1557. Main publication: Historiae de gentibus septentrionalibus libri XXII, Antwerp, Jean Bellère, 1552 ; 1555, 1558, etc. etc. ; Fr. transl., Antwerp 1561, etc",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_31,,,X,Bernard Palissi (c.1510 - c.1590) - French Huguenot potter,,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_32,,,X,"This is how Palissy calls himself (without ""maistre"" and with a minor variant: ""…royne sa mere"") on the title page of his Discours admirables…, Paris, Martin Le Jeune, 1580",,,MHS,7/17/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_33,X,,,ab_b4 and ab_b5 are separated by a line drawn across the page,,,FP,6/21/2016,THU & Charlotte,8/17/2018,"COMMENT NEEDS EDITING: convention for indicating divisions has changed. This comment is anchored to an ""@;"" seems to be earlier convention for indicating editorial comments, NOT a handshift",
p001r,p001r,p001r_3,c_001r_34,X,,,"Sic, correct: Caes.",,,FP,6/21/2016,THU & Charlotte,8/17/2018,"This comment is anchored to an ""@;"" seems to be earlier convention for indicating editorial comments, NOT a handshift",
p001r,p001r,p001r_3,c_001r_35,X,,,"Sic, correct: Orosius.",,,FP,6/21/2016,THU & Charlotte,8/17/2018,"This comment is anchored to an ""@;"" seems to be earlier convention for indicating editorial comments, NOT a handshift",
p001r,p001r,p001r_3,c_001r_36,,X,X,The author-practitioner likely forgot to delete this word.,,,TT,4/27/2019,,,used throughout TCN and TL instead of <del><corr>,
p001r,p001r,p001r_4,c_001r_36,X,,,"Italic hand. I think this was the first line written on this page, following from what is now the last page. See note on last lines of p170v: 
https://docs.google.com/document/d/1cKeqIEd4b5pAHsN1DGsLY8qIdOLz0kueQcfOO_aqC3Q/edit (Marc)",,HANDSHIFT???,FP,6/21/2016,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_4,c_001r_37,X,,,from Città di Castello,,,FP,6/21/2016,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_4,c_001r_38,,,X,"Ippolito Salviani, Aquatilium animalium historiae, liber primus, cum eorundem formis, aere excusis, Rome, the author, 1554.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_39,,,X,"? Possibly Jean Nagerel, L'histoire et cronique de Normandie, Rouen, Martin Le Mégissier, 1581, etc. (and earlier edns not in USTC), among other histories of Normandy, none of which seem to bear the title Annales. — Needs further investigation",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_40,,,X,"Alexander Aphrodisaeus, Problemata, Venice, Antonius de Strata, 1488-89, 1501, 1505 ; and under Alexander Aphrodisiensis, various commentaries on Aristotle. — (This comment not final.)",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_41,,,X,"Polydorus        Vergilius (1477-1555), humanist and historian, presumably mentioned here for his most popular work, De inventoribus rerum, Venezia, Christophorus de Pensis, 1499, various other edns and translations. But also published other books on the Latin language, Proverbs, etc.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_42,,,X,Appianus of Alexandria,,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_43,,,X,"Athenaeus of Naucratis
",,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_44,,,X,"Publius Papinius Statius
",,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_45,,,X,"Maurus Servius Honoratus, 4th-c. commentator of Vergil. Numerous editions of his work in various forms (notably editions of the Aeneid with his comment).",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_46,,,X,Macrobius Ambrosius Theodosius,,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_47,,,X,Sextus Festus (late Roman historian),,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_48,,,X,"LH: Marcellus
MHS: Grammarian and lexicographer, active c300 AD
",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_49,,,X,"LH: Girolamo Maggi
MHS: Girolamo Maggi, Variarum lectionum, seu Miscellaneorum libri IV. in quibus multa auctorum loca emendantur, atque explicantur, et quæ ad antiquitatem cognoscendam pertinent, non pauca afferuntur…, Venice, Giordano I Ziletti, 1563; 1564.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_50,,,X,"Julius Pollux, Onomasticon. Vocabularium, Venice, Aldo I Manuzio, 1502 ; Florence, 1520; Bâle, 1536, 1541.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_51,,,X,Gaius Iulius Higinus,,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_52,,,X,"LH: Pseudo author
MHS: (Works forged by Annius of Viterbo.)",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_53,,,X,Dionysos of Halicarnassus,,,LH,6/13/2014,,,,
p001r,p001r,p001r_5,c_001r_54,,,X,"Marcus Antonius Coccius Sabellicus
",,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_55,,,X,"LH: A group of six scribes (scriptores) who wrote the Historia Augusta: Aelius Spartianus; Iulius Capitolinus; Vulcacius Gallicanus; Aelius Lampridius; Trebellius Pollio; Flavius Vopiscos
MHS: authors rather than scribes",,,MHS,6/14/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_56,,,X,"LH: Born of a noble family in Paris, (1467-1540)
MHS: More importantly, a leading humanist",,,MHS,6/14/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_57,,,X,Another of the authors of the Historia Augusta,,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_58,,,X,"Flavio Biondo from Forlì (1388 or 1392-1463), humanist & historian. Roma instaurata, Rome, [1471]; 1481; Roma triumphans, Mantua, [1473]; 1482, 1531, 1559; ; Italia illustrata, Rome, [1474]; Historiarum ab inclinatione Romanorum imperii decades, Venice, 1483; 1484, 1533.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_59,,,X,Raffaele Maffei from Volterra,,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_60,,,X,"LH: Paulo Manuzio, Venetian print maker (1512-1574)
MHS: you mean printer (and publisher), son of Aldo Manuzio (and Paolo with o)",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_61,,,X,"LH: Iulius Firmicus Maternus
MHS: author of: Mathesis (treatise on astrology)",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_62,,,X,"Quintus Curtius Rufus, Historiae Alexandri Magni
",,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_63,,,X,"LH: Cassius Dio
MHS: Lucius Cassius Dio, Historiae Romanae",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_64,,,X,Another of the authors of the Historia Augusta,,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_65,,,X,"LH: Italic hand
MHS: A common sort of ""essai de plume"" with no specific meaning.",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_66,X,,,This list begins on the upper righthand corner of the folio and continues to the bottom of the page.,,,FP,6/21/2016,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_67,X,,,"This comment appears immediately to the left of the list, modifying ""Iulius Capitollin{us}""",,,FP,6/21/2016,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_68,X,,,hand shift,,HANDSHIFT,Digital Editor,6/16/2016,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_5,c_001r_69,X,,,"MHS: A common sort of ""essai de plume"" with no specific meaning.",,,FP,6/21/2016,THU & Charlotte,8/17/2018,,
p001v,p001v,p001v_1,c_001v_01,X,,,"This paragraph further down, apparently a later addition by the author",,,FP,6/21/2016,THU & Charlotte,8/17/2018,,
p002r,p002r,p002r_1,c_002r_01,,,X,"FP: Sigebert de Gembloux, c.1028 Gembloux-1112. The chronique de Sigebert was popular not only in the Holy Roman Empire but also in France, with 35 manuscripts and the Paris editions of 1513, 1575, 1583 and 1608.
http://www.archivesdefrance.culture.gouv.fr/action-culturelle/celebrations-nationales/recueil-2012/litterature-et-sciences-humaines/sigebert-de-gembloux

MHS: Sigebert de Gembloux, Chronicon ab anno 381 ad 1113, cum insertionibus ex historia Galfridi et additionibus centum et tres sequentes annos complectentibus, nunc primum in lucem emissum, Paris, Henri Estienne & Jean Petit, 1513; etc.",,,MHS,6/21/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_02,,,X,"FP: Tyrannius Rufinus Aquileiensis c.354-c.410. Maybe the Apologia quam…? http://www.documentacatholicaomnia.eu/20_40_0345-0410-_Rufinus_Aquileiensis.html

MHS: Probably mentioned here for his more famous work, the Latin translation and continuation of the Historia ecclesiastica of Eusebius of Caeserea",,,MHS,6/21/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_03,,,X,"Irenaeus c.120-c.200, Asia Minor.",,,FP,6/16/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_04,,,X,"FP: the author wrote in exegesi, which is obviously a mistake; the only work from Irenaeus that reached us is de Haereses.

MHS: Irenaeus Lugdunensis, Opus in quinque libros digestum, in quibus mire retegit & confutat veterum haereseon impias ac portentosas opiniones…, Basel, Johann Froben, 1526; 1528, 1534, 1545, 1548, 1560, 1563, 1567, 1569, 1570, 1571, 1575, 1576. Variant titles include such forms as ""contra haereses"" (starting Paris 1545) or ""adversus haereses"" (starting Paris 1563), apparently never ""in"" (meaning the same), so the title here is in the author's own words. [Not ""de"", merci François de corriger ci-dessus]
",,,MHS,6/21/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_05,,,X,Paolo Emili (1460 Verona-1529 Paris). De rebus gestis francorum...many Paris editions from 1518. USTC,,,FP,6/16/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_06,,,X,"FP: Paolo Jovio, Paulus Jovius, (Como 1483- Florence 1552). Historiarum sui temporis? Vitae virorum illustrium? (Catholic Encyclopedia).

MHS: NB Paolo Giovio is the correct Italian form, Paulus Jovius in Latin, Paul Jove in French.",,,MHS,6/21/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_07,,,X,"Polydorus Vergilius, (1470 Urbino?-1555 Urbino). Polydore’s De Inventoribus rerum, an encyclopaedia of inventors and inventions mainly from the classical past, but also Jews, Egyptians, and Asiatics, was first printed at Venice in 1499, as three books dealing with material inventions, natural philosophy, medicine, and other profane matters. http://www.ilab.org/catalog_view/1725/1725_16006%20Polydorus%20Vergilius.pdf",,,FP,6/16/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_08,,,X,"FP: Iacobus 1434-1520. Supplementum chronicarum?

MHS: Giacomo Filippo Foresti from Bergamo, priest and chronicler. Presumably mentioned for his historical work: Novissime hystoriarum omnium repercussiones… que Supplementum supplementi cronicarum nuncupantur…, 
Venice, Albertino da Lessona, 1503, 1513, etc.; Supplementum chronicorum, Paris 1535; 1538. Italian translations, several editions.",,,MHS,6/21/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,p002r_1,c_002r_09,,,X,Philippe de Commines (Commynes). 1447-1512. Cronique et histoire. The title Memoires was used for the first time for a 1552 edition.,,,FP,6/16/2014,THU & Charlotte,8/23/2018,,
p002r,p002r,,unanchored,X,X,,ML has asigned THC a task related to the figure (line) that separates p002r_1 from p002r_2,,,ML,7/2/2018,THU & Charlotte,8/23/2018,,
p002v,p002v,p002v_1,c_002v_01,,,X,"Prattica cioè nova inventione di conteggiare. Ridotta a modo tanto facile che ogn'uno potrà far ogni gran conto, sì in vender come in comperare, sia a misura, o a peso, o a qual si voglia altro modo, ad ogni sorte di precio, & moneta, per tutte le parti del mondo…, stampata in Brescia, per Vincenzo Sabbio, 1589; 1600, etc. (USTC has only 1600). 

A commercial handbook, very scarcely preserved, possibly no extant copies from a pre-1581 edition. Otherwise, would be evidence of the Ms. being post-1589",,,MHS,7/6/1905,THU & Charlotte,8/23/2018,,
p002v,p002v,p002v_3,c_002v_02,,,X,i.e. coral? Reading pretty uncertain — and coral would be a strange ingredient for a sapphire,,,MHS,6/27/2014,THU & Charlotte,8/23/2018,,
p002v,p002v,p002v_1,c_002v_03,X,,,"1st known edition Brescia, V. Sabio 1600 (USTC 807456), but the book is exceedingly rare and earlier editions might have disappeared entirely. Sabio’s press was active in Brescia 1577-1600 http://edit16.iccu.sbn.it/scripts/iccu_ext.dll?fn=13&i=44",,,FP,6/21/2016,THU & Charlotte,8/23/2018,"This comment is anchored to an ""@;"" seems to be earlier convention for indicating editorial comments, NOT a handshift",
p002v,p002v,p002v_2,c_002v_04,X,,,"Following word abbreviation: ""xpal"", based on ""Xps"" for Christus",,,FP,6/21/2016,THU & Charlotte,8/23/2018,"This comment is anchored to an ""@;"" seems to be earlier convention for indicating editorial comments, NOT a handshift",
p002v,p002v,p002v_2,c_002v_05,X,,,"Abbreviation: ""+et""",,,MHS,6/26/2014,THU & Charlotte,8/23/2018,,
p003r,p003r,p003r_3,c_003r_01,,,X,"""to make it not shine""",,,JCB,6/19/2017,THU & Charlotte,8/23/2018,,
p003r,p003r,p003r_1,c_003r_02,,,X,Counterfeit does not connote a deceptive practice of imitation. Please see the annotation by Isabella Lores-Chavez.,,,PHS,2/11/2019,THU & Clément,,"tl_03r, tl_10r, tl_38r, tl_138v",
p003v,p003v,None,,,,,,,,,,THU & Charlotte,8/23/2018,,
p004r,p004r,p004r_2,c_004r_01,X,,,Is this a later addition?,,,General Editor,7/21/2014,THU & Charlotte,8/23/2018,,
p004v,p004v,p004v_1,c_004v_01,,,X,"Add link to chapter on ""furbishers"" later in Ms.",,,THU,6/22/2017,THU & Charlotte,8/23/2018,,
p004v,p004v,p004v_2,c_004v_02,,,X,This refers to armor here. Blackened armor is common in the period. This a way of re-blacking without disassembling the various parts of the armor which could involve leather parts which would be damaged by the heating as described in the recipe above.,,,TT,7/12/2018,THU & Charlotte,8/23/2018,,
p004v,p004v,p004v_1,c_004v_03,X,,,Author's addition,,,MHS,6/16/2014,THU & Charlotte,8/23/2018,,
p004v,p004v,p004_3,c_004v_04,X,,,"Author's error, r for s.",,,MHS,6/16/2014,THU & Charlotte,8/23/2018,,
p004v,p004v,p004_3,c_004v_05,X,,,Author's addition,,,MHS,6/16/2014,THU & Charlotte,8/23/2018,,
p004v,p004v,p004_3,unanchored,X,,,Could be dedans? MHS check please,,,CC,6/22/2017,THU & Charlotte,8/23/2018,,
p005r,p005r,None,,,,,,,,,,THU & Charlotte,8/23/2018,,
p005v,p005v,None,,,,,,,,,,THU & Charlotte,8/23/2018,,
p006r,p006r,None,,,,,,,,,,THU & Charlotte,8/23/2018,,
p006v,p006v,p006v_1,c_006v_01,X,,,"Author's hesitation over spelling: gages? (as in Italian: gabbie), caches? Clearly a word he is unfamiliar with",,,MHS,6/23/2014,THU & Charlotte,8/23/2018,,
p006v,p006v,p006v_1,c_006v_02,,,X,The French phrase is unclear.,,,MHS,7/6/2018,THU & Charlotte,8/23/2018,,
p006v,p006v,p006v_2,c_006v_03,,,X,"Estampes are made by a process of hammering tin into an engraved surface, and could be translated as ""stampings,"" but we chose stamped ornaments because of their use as specified on fol. 7r.",,,PHS,6/11/2015,THU & Charlotte,8/23/2018,,
p007r,p007r,p007r_1,c_007r_01,,,X,these gilded tin ornaments are produced by a process of stamping--see fol. 6v--thus we are translating estampe as stamped ornament,,,PHS,7/6/1905,THU & Charlotte,8/23/2018,,
p007r,p007r,p007r_2,c_007r_02,,,X,Sorbus domestica,,,MNM,6/19/2014,THU & Charlotte,8/23/2018,The comment can be moved inside the material tag next to the tree proper,
p007r,p007r,p007r_2,c_007r_03,X,,,"sic, correct: espargner
+marchamiltonsmith@gmail.com
",,,MHS,7/6/1905,THU & Charlotte,8/23/2018,,
p007r,p007r,p007r_1,c_007r_04,,,x,A variety of minium.,,,CAG,4/15/2019,,,,
p007v,p007v,p007v_3,c_007v_01,,,X,"Comment from Michael Stolberg: this should read g{out}, not gonorrhea. Gout is painful; gonorrhea is not.",,,PHS,11/12/2016,THU & Charlotte,8/23/2018,,
p007v,p007v,p007v_4,c_007v_02,,,X,From Michael Stolberg: not gonorrhea in the modern sense—it was understood as an involuntary and pleasureless loss of semen. Hence the catheter-like injection of a liquid medicine into the male urethra,,,PHS,11/12/2016,THU & Charlotte,8/23/2018,,
p007v,p007v,p007v_4,c_007v_03,,,X,"<ab><m>Old <pro>smiths</pro>' water</m>, i. <ms>lb.</ms>, <m>Armenian bole</m> reduced to the
finest powder, .i. <ms>℥</ms>, <m>common honey</m>, .iii. <ms>ʒ</ms>, shall be boiled to clarify the <m>honey</m>. Once cooled, it shall be
strained with great pressure &amp; the filtrate shall be used by
injection.</ab>",,,TT,7/2/2018,THU & Charlotte,8/23/2018,THe comment is placed at the end. Should it come after the first word instead?,
p007v,p007v,p007v_2,c_007v_04,X,,,addition by the author?,,,SK,6/15/2016,THU & Charlotte,8/23/2018,,
