folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
007r,7r,p007r_3,stones,Doublets,dragon,,,,,dragon’s blood;eau-de-vie;mastic;glue;sap green;saffron,,,,saffron,,,,,,,,,,,,,
007r,7r,p007r_4,tool,Fish glue or isinglass and mouth glue,Fish;codfish,mouth;Mouth;mouth,,,,Fish glue;isinglass;mouth glue;codfish skin;salted;glue;barely boiling water;Mouth glue;parchment scrapings;glueing;paper;eau-de-vie;vinegar;white wine;eau-de-vie,,for one night,guitar,,,,Joiners;guitar maker[illegible],,mouth,night,,,,,,,
007v,7v,p007v_1,wood and its coloring,For giving the color of all kinds of metals to wood & other things,,,,,,metals;wood;touchstone;pumice stone;hide glue;metal,,,,,,,,,,,,,,,,,
007v,7v,p007v_2,medicine,Against windy colic,,matrix,,,,dried common walnuts;glass;good wine;wine;walnuts,Against windy colic;against the suffocation of the matrix,dozen;half;dose,,walnuts;walnuts,,,,,brazier;small pincers;glass of good wine,,,,,,,,
007v,7v,p007v_3,medicine,For relieving the pain of G.,,urine;urine,,,,finely pulverized golden & yellow marcasite;storax;urine;fumes;urine;luted;copper;linen;water,For relieving the pain of G.,half a lb;half an ounce;lb,,,,,,,"mortar;pot;alembic, well-luted & covered with a copper helmet;luted;linen cloth",,,,,,,,
007v,7v,p007v_4,medicine,Against gonorrhea,,,,,,Aquæ fabrorum antiquæ;boli Armeniæ;mellis communis;mellis,Against gonorrhea;injectionem,lb;℥;ʒ,,,,,fabrorum,,,,,,,,"Aquæ fabrorum antiquæ lb i., boli Armeniæ in <-tel-> tenuissimum pollinem redactæ ℥.i., mellis communis ʒ.iii. coquantur ad mellis despumationem. Tum refrigerata colentur cum forti expressione & de colatura utatur per injectionem.",,
008r,8r,p008r_1,painting,Lettering of gold on paper,,,,,,gold;paper;fig tree milk;gold leaf;linen,,,,fig tree,,,,,linen cloth,,,,,,,,
008r,8r,p008r_2,arms and armor,For bursting grenades and giving force to fireworks,,,,,,powder;quicksilver;quicksilver,,six times as much;a sixth part,,,,,,,,,grenades;fireworks,,,,,,
008r,8r,p008r_3,arms and armor,Tempering of balls for piercing armor of proof,,,,,,lead;strongest vinegar;lard;linen;wadding,,,,,,,,,,,arquebus;pistol,,,,,,
008r,8r,p008r_4,arms and armor,For making a breach in a wall by night,,,,,wall;wall,powder,,,,,,,,,,by night,petard,,,,,,
008v,8v,p008v_1,stones,Polishing of the balas ruby,,,,,,balas ruby;tripoli;marcasite powder;oil,,,,,,,,,tripoli;marcasite powder,,,,,,,,
008v,8v,p008v_2,painting,Or and argent moulu,,,,,,Or;argent moulu;fine gold;☿;mercury;marble;gum water;silver;aquafortis;copper;gum water,,,,,,,,,marble;copper blade,,,,,,,,
008v,8v,p008v_3,stones,Polishing of stones,,,,,,stones;tin;lead;fine copper;copper;diamond;ruby;sapphire;oriental jacinth;tin;stones;emerald;amethyst,,,,,,,,,"wheels for doing this, one of tin, one of lead & one of fine copper;copper wheel;tin wheel",,,,,,,,
008v,8v,p008v_4,casting,M[illegible]ixture of Pewterers,,,,,,fine tin;lead;tin;latten filings,,half,,,,,Pewterers,deaf;sonorous,,,,,,,,,
008v,8v,p008v_5,casting,Perfect amalgam,,,,,,grais;☿;water;☾;☼;aquafortis;☾;♀;☾;☼;♀,,eighth part,,,,,,,grais,,,,,,,,
009r,9r,p009r_1,cultivation,Plowman,,,,,in the cool & by moonlight,grain;grain,,,,millet;millet;millet;millet;pomole;baillard;Beans,Gascony;France,,Plowman;harvesters,,,at night in the cool & by moonlight;sun is approaching midday;at the next sowing;years,,,,,,pomole,
009r,9r,p009r_2,painting,Painter,,,,,,,,,,,,,Painter,,feather;paintbrush,,,,,,,,
009r,9r,p009r_3,merchants,Merchant,,,,,court,,,,,,,,Merchant;apprentices,,,,,,,,,,
009v,9v,p009v_1,painting,Painter,,,,,,orpiment;glass;hot ashes;orpiment;garnets;orpiment;red enamel;oil;orpiment;common salt;Vert de terre;oil,,,,,,,Painter,,glass bottle;matrass,,,,,,,,
009v,9v,p009v_2,merchants,Merchant,,,,,,,,,,,,,Merchant;merchants,,,,,,,,,,
009v,9v,p009v_3,merchants,Waste book,,,livres;lb t.;livres;livres;lb [t].,,,cambric;cambric,,cane;livres per canne;lb t.;canne;livres per canne;livres;lb [t].,,,,François du Cros;François du Cros;François du Cros;du Cros;St. Andrew,,,,2nd September 1581;2nd September 1581;2nd September 1581;day;St. Andrew's day,,,,,,Moved;Moved,
010r,10r,p010r_1,stones;decorative,Counterfeit jasper,,,,,,Counterfeit jasper;glass;horn;jasper;cornalines;stones;glass;horn;jasper;horn;roses;jasper;clear turpentine;spike lavender varnish;oil;spike lavender oil;filings of talc or of pins;cement;gum ammoniac;vinegar;mottled jasper;wool with thick hairs;gold & silver leaf;horn;turpentine;silver;tin leaf;horn;strong glue;horn,,,,roses;spike lavender;spike lavender,,,,,file;joiner's plane,,,,,,,,
010r,10r,p010r_2,painting,Stil de grain yellow,,,,,,Stil de grain yellow;juice of weld;chalk;ceruse;distemper;oil,,,,,Lyon,,,,,,,,,,,,
010r,10r,p010r_3,decorative,Roses,,,,,,horn used for lanterns;parchment,,,,Roses,,,,,,,,,,,,,
010r,10r,p010r_4,painting,Purple color,,,,,,common azure;azur d’esmail;lake;alum,,,,,,,Painters,,,,,,,,,,
010r,10r,p010r_5,metal process;household and daily life,Powder for hourglasses,,,,,,Powder;lead;filth;finely pulverized common salt;stones;earth;iron;lead;salt;marble;water;powder;water,,lb;℥,,,,,,,iron;marble;fine sieve,,,,,,,,
010v,10v,p010v_1,painting,For painting in oil on taffeta without the oil running,,,,,,oil;taffeta;oil;batture;turpentine;strong glue;water;honey;oil;gold;Alum water;oil,,hours,,,,,,,,,,,,,,,
010v,10v,p010v_2,painting,Seat for gold leaf on parchment or paper,,,,,,gold leaf;parchment;paper;starch glue;gold,,,,,,,,,,,,,,,,,
010v,10v,p010v_3,metal process;painting,For cleaning gold leaf applied to iron,horse,,,,,gold leaf;iron;dry horse dung,,,,,,,,,,,,,,,,,
010v,10v,p010v_4,painting,For whitening ceruse,,,,,,"ceruse;eggs, divide them in half & take the yolk out, & between the two halves of the white;ceruse;clear water;ceruse",,,,,,,,,thread,,,,,,,,
011r,11r,p011r_1,painting,Painting esmail d’azur in oil,,fingernail,,,veins of the mountain,esmail d’azur;oil;ceruse;azur d’esmail;oil;azure;azure;marble;egg yolk;waters;azur d’esmail;egg yolk;waters;waters;water;azure;enamel;azures;rock water;water;azure;vert d’azur;azure;copper;Azure ashes;oil;azure;Azur d’esmail;oil;egg yolk;clear water;colored water,,,,,Germany,,common painters,,awl;marble;paintbrush;brush;trowel;sponge;vessel;sieves;alembic;fingernail;oil palette;sponge,,,,,,,,
011v,11v,p011v_1,metal process,Color of Damascus steel on knives,,,,,,Damascus steel;steel;common aquafortis;water;earth;ashes;sand;gold;silver,,,,,,,,,knives;ashes;sand;touchstone,,,,,,,,
011v,11v,p011v_2,medicine,For getting rid of the redness of eyes or bruising,mutton,eyes;eyes,,,,raw mutton flesh,For getting rid of the redness of eyes or bruising,,,,,,,,head band,at night,,,,,,,
011v,11v,p011v_3,painting,For coating with or mat,,,,,,or mat;gold,,,,,,,furbishers,,,,,,,,,furbishers,
011v,11v,p011v_4,tool;stones,For diamond points for engraving,,nail,,,,diamond;stones;diamond;diamond;pumice stone powder;lead;stone;glass;varnish;glass;diamond;sapphire;nail,,,,,,,,,diamond points;points;pumice stone powder;lead wheel,,,,,,,,
011v,11v,p011v_5,stones,Polishing wheel of copper,,,,,,copper;stone;leather,,,,,,,,,Polishing wheel of copper;piece of leather;wheel,long time,,,,,,,
012r,12r,p012r_1,casting,For molding sulfur,lizard,,,,in wind;in cold,sulfur;Sulfur;soot black;pulverized sanguine;oil;verdigris;plaster;water;soot black;sulfur,,,,,,,,,,,,,,,,,
012r,12r,p012r_2,casting,Chimolée,,,,,,Chimolée;terre chimolée;fuller’s earth;cloth;chimolée;lead;chimolée,,days,,,,,fuller,,pot;oven;covered oven,days,,,,,,fuller,
012r,12r,p012r_3,casting,Paper,,,,,,Paper;sulfur;cooked chimolée;white;gold;alabaster;white;lead white;glair of egg;peelings from the fig tree;white varnish;paper,,,,fig tree,,,,,tooth;tooth,,,,,,,,
012r,12r,p012r_4,casting,Plaster,,finger;finger,,,mountains,Plaster;marble;sulfur;oiled;plaster;water;powder of the said plaster;plaster powder,,,,,Albi,,barbers',,reverberatory furnace;barbers' ovens;marble;finger;finger,,,,,,,,
012v,12v,p012v_1,casting,Molding stucco promptly,,,,,,stucco;brick;Armenian bole;sanguine;melted wax;plaster;pestled paper;terre chimolée;brick;bole,,,,,Armenian,,,,relief medal;pestled,,,,,,,,
012v,12v,p012v_2,stones,Cleaning yellow pearls,,,,,,yellow pearls;tripoli;leather;powder of the said tripoli;pearl,,,,,,,goldsmiths’,,goldsmiths’ bouteure;tripoli;leather;powder of the said tripoli,,,,,,,,
012v,12v,p012v_3,stones,For whitening enilanroc,hog,mouth,,,near the fire,enilanroc;ceruse;refired enamel;arsenic;marble;enilanroc;iron;charcoals;lead;tin;agate;agate;brick;diamond;hog bristle;tripoli;ashes;alabaster;brick,,,,,,,ancient lapidaries;goldsmith;glassworkers’,,marble;iron casket;goldsmith’s forge;lead <-tin-> wheel;glassworkers’ solders;diamond point;small hog bristle brushes;tripoli,,,,,,,,
013r,13r,p013r_1,painting,Flesh color from arsenic,,,,,,arsenic;Sublimated arsenic;stone;marble;vermilion;lake;minium;Yellow arsenic;oil;lake,,,,,,,,,marble,,,,,,,,
013r,13r,p013r_2,dyeing,For dyeing,animal,,,,,sal ammoniac;vitriol;lake;verdet;azure,,,,,,,,,,,,,,,Non bona,,
013r,13r,p013r_3,stones,Polishing of stones,,,,,,stones;Engraved <-tai-> stones;copper;tripoli;stones cut in facets and flat,,,,,,,,,copper wheel;brushes;tripoli;wheel,,,,,,,,
013r,13r,p013r_4,tool,Fine sieves of raw silk,horse,,,,,raw silk;tammy of raw silk;raw silk whitened by sulfur smoke;raw silk;sulfur smoke;silk;flour;yellow raw & natural silk;flour;horsehair,,,,,,,,,Fine sieves of raw silk;loom;fine & delicate sieves,,,,,,,,
013v,13v,p013v_1,painting,For knowing the good cendrée of azure for oil,,finger,,,,cendrée of azure;oil;oil;paper,,,,,,,sophisticators,,finger,,,,,,,,
013v,13v,p013v_2,stones;household and daily life,Whitening of pearls,,,,,,pearls;soap water,,,,,,,,,,,,,,,,,
013v,13v,p013v_3,medicine,Toadstone,toad;toad,,,,chamber,Toadstone,"Toadstone;they will be neither able to move, nor speak, nor thwart thieves",,,,,,thieves,,brazier,at night,,,,,,,
013v,13v,p013v_4,casting,Snakes,Snakes;snake;swine,,,,,,,,,,,,,,,,,,,,,,
013v,13v,p013v_5,tool;household and daily life,Candles,,,,,Autan wind,tallow,,,,,,,Candlemakers,,Candles;candle,,,,,,,Autan,
014r,14r,p014r_1,household and daily life,For walls of earth and rustic construction,Swallows,foot,,,good & fertile land,earth;mud;wisps;stalks of hay or straw;stone;brick;earth;light earth;arene;earth;earth;branches of heather;earth;blocks of wood;earth;earth;earth;heather;heather;earth;bricks;saltpeter,,foot,,heather;heather;heather,,,gunpowder makers,,ditch-spade;measuring line;long <-ch-> poles;chevron beams;boards;beaters;mallet;boards;bat,,,,,,,,ditch-spade;tamp;tamps
015r,15r,p015r_1,dyeing,Damasked cloth,,,,,,Damasked cloth;cloth;dyed;string;cord;dye of guesde woad or pastel woad;string;green dye;cord;string;paltry cloth,,,,guesde woad;pastel woad,,,,,,,,,,,,,
015r,15r,p015r_2,casting,Foundry casting,horse,,,,,sand;flour;copper;latten;sand;earth;copper;earth;sand;earth;sandy clay;horse dung;cloth waste;artificial sand;copper;lead;metal,,month,,,,,,,frame,,artillery,,,,,,
015r,15r,p015r_3,casting,Casting gold and silver,,,,,,gold;silver;sand;founders' sand;gold;silver;earth;metal;gold;silver,,,,,,,founders',,frame,,,,,,,,
015v,15v,p015v_1,wood and its coloring;decorative;tool,Tablets,cuttlefish,,,,,boxwood;ebony;sandalwood;ivory;gold;silver;damascening;cuttlefish bone,,,,,,,,,silverpoint;cuttlefish bone,,,,,,,,
015v,15v,p015v_2,practical optics,"Letter, more legible",,,,,,beryl;crystal,,,,,,,,,little handle,,,,,,,,
015v,15v,p015v_3,decorative;metal process,Stamping,,,,,,bronze;lead;thin plate of gold;plates of lead or [<-annealed->] annealed silver;bronze;wooden,,,,,,,,,wooden mallet,,,,,,,,
015v,15v,p015v_4,tool;decorative,Softening horn,,,,,,horn;horn;hot water,,,,,,,,,round or oval-shaped triblet,,,,,,,,
015v,15v,p015v_5,medicine,Ears,,Ears;ear;eye;elbow;ear,,,,musked cotton;musk,defluxion;one ought only to touch the ear & the eye with the elbow;comforts quite well,,,,,,,,,,,,,,,,
015v,15v,p015v_6,medicine,Toothache,,Tooth;ear;tooth;nostril;tooth,,,,clove of garlic,Toothache,hours,,garlic;visaube,,,,,,hours,,,,,,,visaube
016r,16r,p016r_1,metal process,Founding of soft iron,,handfuls,,,,soft iron;iron;realgar;lead;orpiment;brittle iron;iron;soft iron;iron;wallwort;iron;water;iron;soft iron;iron;iron;metal;iron;tempered ashes,,pan & a half;pan & a half ;pans;pan;pan;pan;one & a half quintal;pan;quintals;handfuls;quintals;biggest;pans;lb;shovels;quintals,,wallwort,,,people;Alchemists;miners;workers,,small forges;iron pots;furnace;blast-pipe;bellows’ pipes;furnace;furnace;blast-pipe;square furnace;round furnace;blast-pipe;furnace;furnace;reverberatory furnace;bellows;forges;bellows;furnace;molds;furnace;biggest charcoal;furnace;mold;mold;large file;furnace;big charcoal;charcoals;furnace;new charcoal;furnace;charcoal;charcoal;furnace;molds;iron or metal shells;mold,,,,,,,,
016v,16v,p016v_1,medicine,Against Go.,,,,,,quince seeds;clear water;mucilaginous water,Against Go.;injection,,,quince,,,,,,,,,,,,,
016v,16v,p016v_2,medicine,For removing fine hair from the forehead,,forehead,,,,fine silk;silk;fine cotton wisps,For removing fine hair from the forehead,needle’s worth,,cotton,,,,,needle’s worth of fine silk,,,,,,,,
016v,16v,p016v_3,dyeing,Silk,,,,,,Silk;Crimson;silks,,,,,,,worker,,,,,,,,,,
016v,16v,p016v_4,preserving,Keeping oranges,,,,,,oranges;tin,,months,,oranges,,,,,well closed <-and-> tin vessel,months,,,,,,,
016v,16v,p016v_5,household and daily life;preserving,Candles,,,,,cool & dry place,bran;hemp thread;cotton;cotton,,,,hemp,Montauban,,,,Candles;candle,,,,,,,,
