folio	entry_id	entry_title	fig_text	id	link	caption	TYPE
027v	p026r_1		    	fig_p027v_5	https://drive.google.com/open?id=0B9-oNrvWdlO5T2k5QjJ0ZGtfc1U	1 quintal tire six pans et demy	GRAPHIC
027v	p026r_1		    	fig_p027v_6	https://drive.google.com/open?id=0B9-oNrvWdlO5WmlyWDktZUhka1E	1 quintal et demy tire 7 pans et demy	GRAPHIC
027v	p026r_1		    	fig_p027v_7	https://drive.google.com/open?id=0B9-oNrvWdlO5Z3BiOF9jTFlzdzA	mousquet de 60 lb tire 5 pans et demy ou 6	GRAPHIC
027v	p026r_1		    	fig_p027v_8	https://drive.google.com/open?id=0B9-oNrvWdlO5MVh1MEdHdDZLWmc	5 quintals tire onze pans et demy	GRAPHIC
028r	p028r_1	La mesure du qualibre des pieces	  	fig_p028r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5eUZXU293VGlmdVU		GRAPHIC
029v	p029v_6	Sang de dragon	   	fig_p029v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5cXJfWVlSSGlKOGs		GRAPHIC
033r	p033r_1	Cousteau pour couper le nes ou un doict	  	fig_p033r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5RWlDQlc4cU5HN3M		GRAPHIC
033r	p033r_2	Pour rallumer une chandelle estainte entre les mains sans soufler	  	fig_p033r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5TXhGbkNoNTFHZ0E		GRAPHIC
033r	p033r_2	Pour rallumer une chandelle estainte entre les mains sans soufler	   	fig_p033r_4	https://drive.google.com/open?id=0B9-oNrvWdlO5Mm1OS0lQRUpVZGs		GRAPHIC
033r	p033r_2	Pour rallumer une chandelle estainte entre les mains sans soufler	   	fig_p033r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5SFNtME0xWURubzA		GRAPHIC
033v	p033v_2	Pour fayre sortir du front de quelquun du sang ou du vin ou dune muraille	   	fig_p033v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5MXk2RzNQdF9aeDg		GRAPHIC
034v	p034v_1	Pour fayre fondre ou transmuer une bague mise dans une boitte	  	fig_p034v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5VTA5cWtrWktEajQ		GRAPHIC
035r	p035r_2	Pour fayre soubstenir un seau deau sur la poincte couchee de trois cousteaulx sans toucher a terre	  	fig_p035r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5SGstUTZ6TFRnUjg		GRAPHIC
035v	p035v_2	Pour fayre transmuer du bled dun vaisseau a aultre	   	fig_p035v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5WEY2UUhMRTg4Y00		GRAPHIC
036r	p036r_1	Pour fayre transmuer une boule en un de a couldre subtil	    	fig_p036r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5UmZaWjV2VE82QjQ	de cuir	GRAPHIC
045r	p045r_1	Charger arquebus de dragee	  	fig_p045r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5bkhmQklfNHJoRnc		GRAPHIC
045v	p045v_1	Charger arquebus	  	fig_p045v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZlVWTkcyU2FfanM		GRAPHIC
046r			 		https://drive.google.com/file/d/1G9nfjlsULz9521ia7VptfkJ_AjsSPO5H/view?usp=sharing		MARK
046v	p046v_4	Escripre sans ancre	    	fig_p046v_1	https://drive.google.com/file/d/1denrfxQE_oWyKP04zuMTk0s2P7WG4TeK/view?usp=sharing		GRAPHIC
048r	p048r_1	Fondeur	  	fig_p048r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5YXhXTUJpMk44eTQ		GRAPHIC
054v	p054v_1		  	fig_p054v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5N1FlRklFdzIxUzQ		GRAPHIC
059r	p059r_1	Ombres	   	fig_p059r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5QWJmbC1RaG8zTGM		GRAPHIC
061r	p061r_4	Jours		fig_p061r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5LVgyaXJ0Rl8wMjA		GRAPHIC
061r	p061r_4	Jours		fig_p061r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5a0g1a0hvTUdHRFE		GRAPHIC
062v	p062v_2	Perspective	  	fig_p062v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZkRNOG9hZmpMT2M		GRAPHIC
062v	p062v_2	Perspective	   	fig_p062v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5X0hKa0FueWdjMFk		GRAPHIC
064v	p064v_2		  	fig_p064v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5NmZDTmZwc1Jqb2M		GRAPHIC
065r	p065r_1	Umbres	  	fig_p065r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5UFZyOUNKU3pqVXc		GRAPHIC
065r	p065r_2	Carnation	  	fig_p065r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5eUhrRmdpaWNCZlk		GRAPHIC
077r	p077r_2	Medecine des orientaulx contre toutes maladies	  	fig_p077r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ckxxXzJIeWhnMDg		GRAPHIC
080r	p080r_3	Fontaines	  	fig_p080r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5c3dLNVNsem9nTjQ		GRAPHIC
080r	p080r_3	Fontaines	   	fig_p080r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5N2U2RXB5UFc3TUE		GRAPHIC
080r	p080r_3	Fontaines	   	fig_p080r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5R2ZBNWRseEpQdnc		GRAPHIC
080v	p080v_1	Fondeurs de menus ouvrages destaim	  	fig_p080v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5VktqeFlScTAyczQ		GRAPHIC
082r	p082r_4	Horlogeurs	  	fig_p082r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5MG1jZS1LOUE2QWs		GRAPHIC
084v	p084v_4	Sable pour le plomb le plus excellent de tous pour grand relief et petit	X				MARK
086v	p086v_1	Sable excellent pour plomb estain et cuivre	  	fig_p086v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5dWFuOW9Db1ZjZFk		GRAPHIC
091v	p091r_2		  	fig_p091v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5Q2hHbzNsX1JlYUU		GRAPHIC
093v	p093v_2	Azur		fig_p093v_1	https://drive.google.com/open?id=1Evh12fQW-7shrdMMvIkrEUyM0z_nrlM1		GRAPHIC
094r	p094r_1	Fourbisseur	   	fig_p094r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5YTlFNHRBSVRrOEU		GRAPHIC
094v	p094r_1		    	fig_p094v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5Q29MTEVLUGE5RGs	le banc des fourreaux	GRAPHIC
094v	p094r_1		   	fig_p094v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5OEQ3OEFSNnEzeE0		GRAPHIC
094v	p094r_1			fig_p094v_8	https://drive.google.com/open?id=1SslzZieQdAMA1gc0QKXvZtR4GpsAA8Nk		GRAPHIC
094v	p094r_1			fig_p094v_4	https://drive.google.com/open?id=1Pyd3sajmdLQKdw3viV0aymANv9v7cr3-	a	GRAPHIC
094v	p094r_1			fig_p094v_5	https://drive.google.com/open?id=16DPQkKGIVdRrU8_LUuUfJOqW_01wpKuf	b	GRAPHIC
094v	p094r_1			fig_p094v_7	https://drive.google.com/open?id=1PmDU-LbWVDhejN2GS16gi3Qgc5f1WMzv	D le baston a felinder	GRAPHIC
094v	p094r_1			fig_p094v_6	https://drive.google.com/open?id=1ERy6lz_iApaxJGsw9kJse9H4x9rx4Pp0	c le flin ou pierre de fouldre	GRAPHIC
100v	p100v_1	Pierrerie	  	fig_p100v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5QUx4eF9qWU1jS28		GRAPHIC
101r	p100v_2		   	fig_p101r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5dnlodmJvNkRMaWM		GRAPHIC
102r	p102r_1	Provisions pour lœuvre de colchos	☿				MARK
102r	p102r_4	Vaisseaulx de verre	   	fig_p102r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5MVhNYTRzOXJzR2M		GRAPHIC
102v	p102v_3	Gect	  	fig_p102v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5SjZwV0ZHdW93ZEk		GRAPHIC
104v	p104v_4	Espinette jouant toute seule	   	fig_p104v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5cWFSaUU5a2R6N2s		GRAPHIC
105r	p105r_4	Jardinier		fig_p105r_3	https://drive.google.com/open?id=1JhDJNev7KOB91hz0h-FhVjRGxq8rj3s1		GRAPHIC
105r	p105r_4	Jardinier	  	fig_p105r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5T1FZYTdOT1U4Qzg		GRAPHIC
105r	p105r_4	Jardinier	   	fig_p105r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5UWpzdGVweGVvQTg		GRAPHIC
111r	p111r_4	Terre ardille	  	fig_p111r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5X085N09VejNheTQ		GRAPHIC
112r	p112r_1	Pour destremper le sable	   	fig_p112r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5MHphUzNsdW9DQ1U		GRAPHIC
112v	p112v_1	MoulerFayre le plant et disposition de lanimal	  	fig_p112v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5c3dzVlNzcUd6MnM		GRAPHIC
113r	p112v_1		  	fig_p113r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5YkE1Vm1ZMmRoVm8		GRAPHIC
113r	p112v_1		  	fig_p113r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5aW1sekxQWGJJY0E		GRAPHIC
113r	p112v_1		  	fig_p113r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5MDEzX0RhXzJGcXc		GRAPHIC
113r	p112v_1		  	fig_p113r_4	https://drive.google.com/open?id=0B9-oNrvWdlO5Qm8wSlJPOWxfZWM		GRAPHIC
113v	p113r_1		  	fig_p113v_4	https://drive.google.com/open?id=0B9-oNrvWdlO5bEE5QmFaQWxUYm8		GRAPHIC
113v	p113r_1		  	fig_p113v_5	https://drive.google.com/open?id=0B9-oNrvWdlO5V29QdUxZVmxCUDQ		GRAPHIC
113v	p113r_1		  	fig_p113v_3	https://drive.google.com/open?id=0B9-oNrvWdlO5dEdzS040X3RjbkU		GRAPHIC
114r	p114r_1	Second gect	  	fig_114r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5SWVndzB0aEk5MWs		GRAPHIC
114r	p114r_1	Second gect	  	fig_p114r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5NVR5Y2FtZHM0ck0		GRAPHIC
114r	p114r_1	Second gect	  	fig_p114r_6	https://drive.google.com/open?id=0B9-oNrvWdlO5TTRuWU8yVktnc3M		GRAPHIC
114v	p114r_1		   	fig_p114v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5dmlRQm1lTjc4aXc		GRAPHIC
114v	p114r_1		  	fig_p114v_3	https://drive.google.com/open?id=0B9-oNrvWdlO5dkk3MW10YzNIbDg		GRAPHIC
114v	p114r_1		  	fig_p114v_4	https://drive.google.com/open?id=0B9-oNrvWdlO5NmZxVUxKTmhYSXM		GRAPHIC
115r	p114r_1		   	fig_p115r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5NmVuVUloTy0zNWc		GRAPHIC
115r	p115r_2	Animal hors de despouille	   	fig_p115r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5aS1ZeHc2dGxJTE0		GRAPHIC
115r	p115r_3	Recuite de moules	    	fig_p115r_4	https://drive.google.com/open?id=0B9-oNrvWdlO5Xzg4WTZ2NFNkOHM	Cest la forme des crampons	GRAPHIC
115v	p115v_3	Recuire les moules a noyau	  	fig_p115v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5dHVja3NnV0dmMlk		GRAPHIC
115v	p115v_3	Recuire les moules a noyau	  	fig_p115v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5bXhqSkVQbkgwYjQ		GRAPHIC
116r	p115v_3		  	fig_p116r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5SEdPVDdsS2dEUmM		GRAPHIC
117r	p117r_1	Moyen de mouler les fleurs et herbes	   	fig_p117r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5WnpBbm8wN2gyTWs		GRAPHIC
117r	p117r_1	Moyen de mouler les fleurs et herbes	   	fig_p117r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5VURRYzlWOFByNzQ		GRAPHIC
117r	p117r_1	Moyen de mouler les fleurs et herbes	    	fig_p117r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5dVB5bzVUWWJuS0U	Moule en noyau	GRAPHIC
118v	p118v_1	Gect en chassis	  	fig_p118v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5Rm5qaUJCNWVFWlk		GRAPHIC
120v	p120v_6	Garder fleurs seiches en mesme fig_p120v_3https://drive.google.com/open?id=1PVlkb1lR_o9LNTFq4QNRxxQ-tP1QZHBj estat toute lannee		fig_p120v_3	https://drive.google.com/open?id=1PVlkb1lR_o9LNTFq4QNRxxQ-tP1QZHBj		GRAPHIC
122r	p122r_1	Plant des animaulx divers	  	fig_p122r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5TVo3Y3lKWjA0dXM		GRAPHIC
122r	p122r_2	Fleur en la bouche du serpent	   	fig_p122r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZDJlZ0g5OXNKeDQ		GRAPHIC
122r	p122r_2	Fleur en la bouche du serpent	   	fig_p122r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5UDgyYnNSZnlndjg		GRAPHIC
122r	p122r_2	Fleur en la bouche du serpent	   	fig_p122r_4	https://drive.google.com/open?id=0B9-oNrvWdlO5elo4VzJZRUppOWc		GRAPHIC
122v	p122v_3	Mouler medailles et choses plattes	  	fig_p122v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5aTlRdkx2eVdtZXM		GRAPHIC
122v	p122v_3	Mouler medailles et choses plattes	  	fig_p122v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5WFBpaEV5Ti1hRUU		GRAPHIC
124v	p124v_3	Moyen de fayre le gect pour petites lezardes	  	fig_p124v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5dWU4UEtpX0hBV0k		GRAPHIC
124v	p124v_3	Moyen de fayre le gect pour petites lezardes	   	fig_p124v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5aGQ0OTFCTklrQ0k		GRAPHIC
125r	p124v_3		  	fig_p125r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5bDlqQzJZemktSFk		GRAPHIC
127r	p127r_1	Moule de plastre pour cire	  	fig_p127r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZFFkT3I4Vmx2em8		GRAPHIC
127v	p127v_1	Terre des fondeurs	   	fig_p127v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5S2VzRmhYUWpfbmc		GRAPHIC
129v	p129v_4	Yraigne moulee sur une fœille	  	fig_p129v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5Sk9tdno1ODBqdms		GRAPHIC
130r	p130r_1	Animaulx seches au four	  	fig_p130r	https://drive.google.com/open?id=0B9-oNrvWdlO5cHVsNnNVQ1l5RnM		GRAPHIC
133r	p133r_2	Pieds de petitses lezardes pour or et argent	   	fig_p133r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5V2JZcWtNeEJmYWs		GRAPHIC
135r	p135r_2	Gect	   	fig_p135r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5U3BqOGxwTHNPeVk		GRAPHIC
137r	p137r_3	Crampons	   	fig_p137r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5aG5XMHdYTTYzbzA		GRAPHIC
140r	p139v_1		  	fig_p140r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5NFdsdU4tVFgxOTg		GRAPHIC
141v	p141r_1		   	fig_p141v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5R0NIbHoyNTNQRlk		GRAPHIC
142r	p141r_1		   	fig_p142r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5Qkh2MDhvUkFnUW8		GRAPHIC
143r	p143r_3	Crapault	  	fig_p143r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5cnJFVXFaRURaY3c		GRAPHIC
144r	p144r_1	Tortues	   	fig_p144r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5emg1MXZLREtSRk0		GRAPHIC
144r	p144r_1	Tortues	   	fig_p144r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5ZkN6Y3ZTM1pKRG8		GRAPHIC
144v	p144r_1		   	fig_p144v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZGhySWFITlRSaG8		GRAPHIC
144v	p144r_1		   	fig_p144v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5SlhGM2FYLUUteXc		GRAPHIC
145r	p145r_1	Gecter en trois chassis	  	fig_p145r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5MXRaSldvRzY2UTg		GRAPHIC
145r	p145r_2	Os de seiche		fig_p145r_2	https://drive.google.com/file/d/1-NGCS8NDm7NI4xFQ9ZF058I9vEhQRBuQ/view?usp=sharing		GRAPHIC
145v	p145v_1	Mouler herbes et fleurs	   	fig_p145v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5b1FOQ1Z5b1J3TWc		GRAPHIC
146v	p146v_1	Mouler tortues	   	fig_p146v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5bUk2c1E3LWtOTDA		GRAPHIC
146v	p146v_1	Mouler tortues	   	fig_p146v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5WGEzek5peHJ6VDA		GRAPHIC
150v	p150v_1	Mouler creux	  	fig_p150v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5eVVJSjUwSFhpUzg		GRAPHIC
150v	p150v_1	Mouler creux	  	fig_p150v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5SUk5cUNtNnpqbXc		GRAPHIC
151r	p150v_1		  	fig_p151r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5dEhadHEzVWlxejg		GRAPHIC
151v	p150v_1		   	fig_p151v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5bk1US2QxRTVwa2s		GRAPHIC
152v	p152v_1	Reparer les choses gectees	   	fig_p152v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5S3NpRV82clA2UVE		GRAPHIC
152v	p152v_1	Reparer les choses gectees	   	fig_p152v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5cWhfVmhvbWszZlE		GRAPHIC
153v	p153r_2		   	fig_p153v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5czR5TF9scDhsSG8		GRAPHIC
153v	p153r_2		  	fig_p153v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5c3FRZnZSMnU1Njg		GRAPHIC
155r	p155r_1	Mouler une rose	   	fig_p155r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5b3lFZ18wbGducEk		GRAPHIC
156v	p156v_1	Mouler une mousche	  	fig_p156v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5VjFPeWlJc05CbDQ		GRAPHIC
159v	p159v_2	Œillet	   	fig_p159v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5LXNkdWdBLXZ1RVk		GRAPHIC
160r	p160r_1	Presse pour les grands moules	  	fig_p160r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZDNJT25PWjlUbGM		GRAPHIC
160r	p160r_1	Presse pour les grands moules	   	fig_p160r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5MEUzMjhxUVl1ZTA		GRAPHIC
163v	p163v_2	Crocum	   	fig_p163v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5anJvd0FQQ3BkRFE		GRAPHIC
165v	p165v_6	Aisle de mousche	   	fig_p165v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5UmhqY1RkWFRhYzg		GRAPHIC
167r	p167r_1	Mortiers	  	fig_p167r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5QTU2dDJtWHU5Nmc		GRAPHIC
167r	p167r_1	Mortiers	  	fig_p167r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5OUZCVWpfdmlzbWc		GRAPHIC
168r	p167r_1		   	fig_p168r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5RUdzVWVNM3l6QVU		GRAPHIC
169v	p169v_2	Reduire une figure ronde en cave	   	fig_p169v_3	https://drive.google.com/open?id=0B9-oNrvWdlO5MGtBY2MyYTNKTUE		GRAPHIC
170r	p170r_6	Nettoyer moules clos	  	fig_p170r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5amQ1YVRWWnFGWUE		GRAPHIC
170r	p170r_6	Nettoyer moules clos	  	fig_p170r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5S3FNaEt0QmN1alU		GRAPHIC
